# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	5.243648e-04
0.1           	1.024365e-03
0.15          	1.524365e-03
0.2           	2.024365e-03
0.25          	2.524365e-03
0.3           	3.024365e-03
0.35          	3.524376e-03
0.4           	4.024376e-03
0.45          	4.524376e-03
0.5           	5.024376e-03
0.55          	5.524376e-03
0.6           	6.024389e-03
0.65          	6.524389e-03
0.7           	7.024389e-03
0.75          	7.524395e-03
0.8           	8.024395e-03
0.85          	8.524416e-03
0.9           	9.024416e-03
0.95          	9.524424e-03
1             	1.002442e-02
1.05          	1.052444e-02
1.1           	1.102446e-02
1.15          	1.152446e-02
1.2           	1.202446e-02
1.25          	1.252449e-02
1.3           	1.302449e-02
1.35          	1.352449e-02
1.4           	1.402449e-02
1.45          	1.452449e-02
1.5           	1.502450e-02
1.55          	1.552450e-02
1.6           	1.602450e-02
1.65          	1.652450e-02
1.7           	1.702450e-02
1.75          	1.752450e-02
1.8           	1.802451e-02
1.85          	1.852451e-02
1.9           	1.902451e-02
1.95          	1.952451e-02
2             	2.002452e-02
2.05          	2.052452e-02
2.1           	2.102452e-02
2.15          	2.152453e-02
2.2           	2.202453e-02
2.25          	2.252453e-02
2.3           	2.302454e-02
2.35          	2.352458e-02
2.4           	2.402461e-02
2.45          	2.452463e-02
2.5           	2.502464e-02
2.55          	2.552464e-02
2.6           	2.602464e-02
2.65          	2.652464e-02
2.7           	2.702464e-02
2.75          	2.752464e-02
2.8           	2.802464e-02
2.85          	2.852464e-02
2.9           	2.902464e-02
2.95          	2.952464e-02
3             	3.002464e-02
3.05          	3.052464e-02
3.1           	3.102464e-02
3.15          	3.152464e-02
3.2           	3.202464e-02
3.25          	3.252464e-02
3.3           	3.302464e-02
3.35          	3.352464e-02
3.4           	3.402464e-02
3.45          	3.452464e-02
3.5           	3.502464e-02
3.55          	3.552464e-02
3.6           	3.602464e-02
3.65          	3.652464e-02
3.7           	3.702464e-02
3.75          	3.752464e-02
3.8           	3.802460e-02
3.85          	3.852409e-02
3.9           	3.902100e-02
3.95          	3.951033e-02
4             	3.998408e-02
4.05          	4.043300e-02
4.1           	4.084862e-02
4.15          	4.122218e-02
4.2           	4.154630e-02
4.25          	4.181405e-02
4.3           	4.201796e-02
4.35          	4.215375e-02
4.4           	4.222723e-02
4.45          	4.225505e-02
4.5           	4.226158e-02
4.55          	4.226834e-02
4.6           	4.228197e-02
4.65          	4.229866e-02
4.7           	4.231048e-02
4.75          	4.230857e-02
4.8           	4.228474e-02
4.85          	4.223266e-02
4.9           	4.215457e-02
4.95          	4.207953e-02
5             	4.204586e-02
5.05          	4.204822e-02
5.1           	4.206459e-02
5.15          	4.208204e-02
5.2           	4.209611e-02
5.25          	4.210413e-02
5.3           	4.210374e-02
5.35          	4.209742e-02
5.4           	4.209346e-02
5.45          	4.209396e-02
5.5           	4.209261e-02
5.55          	4.208202e-02
5.6           	4.206232e-02
5.65          	4.204088e-02
5.7           	4.202320e-02
5.75          	4.200902e-02
5.8           	4.199847e-02
5.85          	4.199122e-02
5.9           	4.199002e-02
5.95          	4.199523e-02
6             	4.200164e-02
6.05          	4.200724e-02
6.1           	4.201286e-02
6.15          	4.201998e-02
6.2           	4.202911e-02
6.25          	4.203876e-02
6.3           	4.204713e-02
6.35          	4.205330e-02
6.4           	4.205689e-02
6.45          	4.205790e-02
6.5           	4.205632e-02
6.55          	4.205168e-02
6.6           	4.204291e-02
6.65          	4.202873e-02
6.7           	4.200856e-02
6.75          	4.198290e-02
6.8           	4.195327e-02
6.85          	4.192119e-02
6.9           	4.188622e-02
6.95          	4.184713e-02
7             	4.180293e-02
7.05          	4.175373e-02
7.1           	4.170052e-02
7.15          	4.164423e-02
7.2           	4.158512e-02
7.25          	4.152233e-02
7.3           	4.145463e-02
7.35          	4.138113e-02
7.4           	4.130189e-02
7.45          	4.121725e-02
7.5           	4.112581e-02
7.55          	4.102492e-02
7.6           	4.091464e-02
7.65          	4.080031e-02
7.7           	4.069436e-02
7.75          	4.061090e-02
7.8           	4.055674e-02
