# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	7.907555e-04
0.1           	1.290755e-03
0.15          	1.790755e-03
0.2           	2.290755e-03
0.25          	2.790755e-03
0.3           	3.290755e-03
0.35          	3.790755e-03
0.4           	4.290755e-03
0.45          	4.790755e-03
0.5           	5.307026e-03
0.55          	5.807026e-03
0.6           	6.307026e-03
0.65          	6.807078e-03
0.7           	7.307078e-03
0.75          	7.807094e-03
0.8           	8.307094e-03
0.85          	8.807232e-03
0.9           	9.307232e-03
0.95          	9.807238e-03
1             	1.030725e-02
1.05          	1.080725e-02
1.1           	1.130725e-02
1.15          	1.180725e-02
1.2           	1.230725e-02
1.25          	1.280725e-02
1.3           	1.330725e-02
1.35          	1.380725e-02
1.4           	1.430725e-02
1.45          	1.480725e-02
1.5           	1.530725e-02
1.55          	1.580725e-02
1.6           	1.630725e-02
1.65          	1.680729e-02
1.7           	1.730729e-02
1.75          	1.780729e-02
1.8           	1.830729e-02
1.85          	1.880729e-02
1.9           	1.930729e-02
1.95          	1.980735e-02
2             	2.030735e-02
2.05          	2.080735e-02
2.1           	2.130735e-02
2.15          	2.180737e-02
2.2           	2.230737e-02
2.25          	2.280737e-02
2.3           	2.330737e-02
2.35          	2.380737e-02
2.4           	2.430737e-02
2.45          	2.480760e-02
2.5           	2.530760e-02
2.55          	2.580760e-02
2.6           	2.630760e-02
2.65          	2.680760e-02
2.7           	2.730760e-02
2.75          	2.780766e-02
2.8           	2.830766e-02
2.85          	2.880766e-02
2.9           	2.930766e-02
2.95          	2.980766e-02
3             	3.030769e-02
3.05          	3.080769e-02
3.1           	3.130769e-02
3.15          	3.180769e-02
3.2           	3.230769e-02
3.25          	3.280771e-02
3.3           	3.330771e-02
3.35          	3.380771e-02
3.4           	3.430771e-02
3.45          	3.480771e-02
3.5           	3.530771e-02
3.55          	3.580771e-02
3.6           	3.630771e-02
3.65          	3.680771e-02
3.7           	3.730770e-02
3.75          	3.780747e-02
3.8           	3.830603e-02
3.85          	3.880089e-02
3.9           	3.928778e-02
3.95          	3.976129e-02
4             	4.021452e-02
4.05          	4.064065e-02
4.1           	4.103333e-02
4.15          	4.138631e-02
4.2           	4.169416e-02
4.25          	4.195105e-02
4.3           	4.215103e-02
4.35          	4.228861e-02
4.4           	4.236719e-02
4.45          	4.239779e-02
4.5           	4.239902e-02
4.55          	4.239142e-02
4.6           	4.238590e-02
4.65          	4.238433e-02
4.7           	4.238545e-02
4.75          	4.238619e-02
4.8           	4.237630e-02
4.85          	4.234784e-02
4.9           	4.229108e-02
4.95          	4.220918e-02
5             	4.213276e-02
5.05          	4.209736e-02
5.1           	4.209571e-02
5.15          	4.210750e-02
5.2           	4.212155e-02
5.25          	4.213283e-02
5.3           	4.213788e-02
5.35          	4.213388e-02
5.4           	4.212018e-02
5.45          	4.210568e-02
5.5           	4.209397e-02
5.55          	4.207934e-02
5.6           	4.206079e-02
5.65          	4.204651e-02
5.7           	4.204340e-02
5.75          	4.205429e-02
5.8           	4.208297e-02
5.85          	4.212476e-02
5.9           	4.217934e-02
5.95          	4.224175e-02
6             	4.230565e-02
6.05          	4.236800e-02
6.1           	4.242797e-02
6.15          	4.248542e-02
6.2           	4.253994e-02
