# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	4.051435e-04
0.1           	8.051435e-04
0.15          	1.205155e-03
0.2           	1.605168e-03
0.25          	2.005168e-03
0.3           	2.405168e-03
0.35          	2.805168e-03
0.4           	3.205168e-03
0.45          	3.605168e-03
0.5           	4.005168e-03
0.55          	4.405168e-03
0.6           	4.805168e-03
0.65          	5.205358e-03
0.7           	5.605359e-03
0.75          	6.005359e-03
0.8           	6.405359e-03
0.85          	6.805597e-03
0.9           	7.205605e-03
0.95          	7.605607e-03
1             	8.005609e-03
1.05          	8.405609e-03
1.1           	8.805609e-03
1.15          	9.206984e-03
1.2           	9.606984e-03
1.25          	1.000698e-02
1.3           	1.040698e-02
1.35          	1.080698e-02
1.4           	1.120698e-02
1.45          	1.160698e-02
1.5           	1.200698e-02
1.55          	1.240698e-02
1.6           	1.280698e-02
1.65          	1.320698e-02
1.7           	1.360698e-02
1.75          	1.400698e-02
1.8           	1.440699e-02
1.85          	1.480699e-02
1.9           	1.520699e-02
1.95          	1.560699e-02
2             	1.600699e-02
2.05          	1.640699e-02
2.1           	1.680699e-02
2.15          	1.720699e-02
2.2           	1.760790e-02
2.25          	1.800790e-02
2.3           	1.840790e-02
2.35          	1.880790e-02
2.4           	1.920790e-02
2.45          	1.960790e-02
2.5           	2.000790e-02
2.55          	2.040790e-02
2.6           	2.080790e-02
2.65          	2.120790e-02
2.7           	2.160791e-02
2.75          	2.200791e-02
2.8           	2.240791e-02
2.85          	2.280791e-02
2.9           	2.320791e-02
2.95          	2.360791e-02
3             	2.400791e-02
3.05          	2.440791e-02
3.1           	2.480825e-02
3.15          	2.520825e-02
3.2           	2.560825e-02
3.25          	2.600825e-02
3.3           	2.640826e-02
3.35          	2.680826e-02
3.4           	2.720826e-02
3.45          	2.760827e-02
3.5           	2.800827e-02
3.55          	2.840827e-02
3.6           	2.880827e-02
3.65          	2.920827e-02
3.7           	2.960828e-02
3.75          	3.001289e-02
3.8           	3.041286e-02
3.85          	3.081217e-02
3.9           	3.120819e-02
3.95          	3.159390e-02
4             	3.195290e-02
4.05          	3.225775e-02
4.1           	3.247958e-02
4.15          	3.259518e-02
4.2           	3.259908e-02
4.25          	3.249535e-02
4.3           	3.229868e-02
4.35          	3.202936e-02
4.4           	3.170342e-02
4.45          	3.133499e-02
4.5           	3.094634e-02
4.55          	3.056942e-02
4.6           	3.023491e-02
4.65          	2.995740e-02
4.7           	2.973249e-02
4.75          	2.955062e-02
4.8           	2.940345e-02
4.85          	2.928596e-02
4.9           	2.919000e-02
4.95          	2.911314e-02
5             	2.905276e-02
5.05          	2.900625e-02
