# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	3.690228e-02
0.015         	4.969852e-01
0.02          	6.224520e-01
0.025         	2.014484e-01
0.03          	1.101159e-01
0.035         	6.545403e-02
0.04          	3.367966e-02
0.045         	2.395235e-02
0.05          	2.065031e-02
0.055         	2.321320e-02
0.06          	1.883238e-02
0.065         	1.689009e-02
0.07          	1.669228e-02
0.075         	1.607109e-02
0.08          	1.530552e-02
0.085         	1.524240e-02
0.09          	1.567402e-02
0.095         	1.701758e-02
0.1           	1.877100e-02
0.105         	2.212474e-02
0.11          	2.677793e-02
0.115         	3.983126e-02
0.12          	2.391035e-02
0.125         	2.302330e-02
0.13          	2.441389e-02
0.135         	2.546878e-02
0.14          	2.516056e-02
0.145         	2.817525e-02
0.15          	3.000887e-02
0.155         	2.548555e-02
0.16          	2.817032e-02
0.165         	2.608041e-02
0.17          	2.364921e-02
0.175         	3.038411e-02
0.18          	2.485698e-02
0.185         	2.224022e-02
0.19          	2.914411e-02
0.195         	2.493248e-02
0.2           	1.851346e-02
0.205         	2.211868e-02
0.21          	2.266026e-02
0.215         	1.873906e-02
0.22          	1.816909e-02
0.225         	1.875977e-02
0.23          	1.778291e-02
0.235         	1.605803e-02
0.24          	1.513391e-02
0.245         	1.484736e-02
0.25          	1.482314e-02
0.255         	1.434867e-02
0.26          	1.330584e-02
0.265         	1.311591e-02
0.27          	1.272903e-02
0.275         	1.232641e-02
0.28          	1.169032e-02
0.285         	1.121305e-02
0.29          	1.096141e-02
0.295         	1.071389e-02
0.3           	1.030003e-02
0.305         	1.014930e-02
0.31          	9.898269e-03
0.315         	9.588269e-03
0.32          	9.972620e-03
0.325         	9.508805e-03
0.33          	9.087869e-03
0.335         	8.592433e-03
0.34          	8.344351e-03
0.345         	8.165536e-03
0.35          	8.142043e-03
0.355         	8.087249e-03
0.36          	7.887719e-03
0.365         	7.649372e-03
0.37          	7.493064e-03
0.375         	7.508723e-03
0.38          	7.470120e-03
0.385         	7.339067e-03
0.39          	7.171961e-03
0.395         	6.998822e-03
0.4           	7.035849e-03
0.405         	7.019352e-03
0.41          	6.924800e-03
0.415         	6.802892e-03
0.42          	6.690711e-03
0.425         	6.680781e-03
0.43          	6.687601e-03
0.435         	6.634245e-03
0.44          	6.517011e-03
0.445         	6.847554e-03
0.45          	6.552910e-03
0.455         	6.321616e-03
0.46          	6.233904e-03
0.465         	6.166365e-03
0.47          	6.034748e-03
0.475         	5.954586e-03
0.48          	5.921263e-03
0.485         	5.865832e-03
0.49          	5.799852e-03
0.495         	5.696775e-03
0.5           	5.634996e-03
0.505         	5.579592e-03
0.51          	5.549562e-03
0.515         	5.504665e-03
0.52          	5.424569e-03
0.525         	5.383987e-03
0.53          	5.320673e-03
0.535         	5.293002e-03
0.54          	5.252169e-03
0.545         	5.159861e-03
0.55          	5.126759e-03
0.555         	5.038649e-03
0.56          	5.020865e-03
0.565         	4.953467e-03
0.57          	4.923695e-03
0.575         	4.951924e-03
0.58          	4.754228e-03
0.585         	4.726349e-03
0.59          	4.629180e-03
0.595         	4.593294e-03
0.6           	4.542732e-03
0.605         	4.464872e-03
0.61          	4.439695e-03
0.615         	4.358721e-03
0.62          	4.327912e-03
0.625         	4.268273e-03
0.63          	4.200529e-03
0.635         	4.183062e-03
0.64          	4.134673e-03
0.645         	4.098080e-03
0.65          	4.048356e-03
0.655         	3.969523e-03
0.66          	3.958280e-03
0.665         	3.936667e-03
0.67          	3.886039e-03
0.675         	3.812676e-03
0.68          	3.771216e-03
0.685         	3.753899e-03
0.69          	4.024536e-03
0.695         	3.776771e-03
0.7           	3.593763e-03
0.705         	3.556035e-03
0.71          	3.546256e-03
0.715         	3.518057e-03
0.72          	3.436135e-03
0.725         	3.386453e-03
0.73          	3.362455e-03
0.735         	3.368226e-03
0.74          	3.348729e-03
0.745         	3.244249e-03
0.75          	3.197829e-03
0.755         	3.172245e-03
0.76          	3.169110e-03
0.765         	3.147833e-03
0.77          	3.074333e-03
0.775         	3.017295e-03
0.78          	3.012638e-03
0.785         	3.017090e-03
0.79          	3.008186e-03
0.795         	2.953248e-03
0.8           	3.107328e-03
0.805         	2.925112e-03
0.81          	2.833373e-03
0.815         	2.806173e-03
0.82          	2.755505e-03
0.825         	2.696424e-03
0.83          	2.662401e-03
0.835         	2.643551e-03
0.84          	2.626352e-03
0.845         	2.586056e-03
0.85          	2.539642e-03
0.855         	2.491269e-03
0.86          	2.485840e-03
0.865         	2.466158e-03
0.87          	2.443928e-03
0.875         	2.412023e-03
0.88          	2.370459e-03
0.885         	2.353502e-03
0.89          	2.349622e-03
0.895         	2.344918e-03
0.9           	2.273251e-03
0.905         	2.232089e-03
0.91          	2.214061e-03
0.915         	2.210019e-03
0.92          	2.191689e-03
0.925         	2.153788e-03
0.93          	2.108293e-03
0.935         	2.285637e-03
0.94          	2.156982e-03
0.945         	2.083862e-03
0.95          	2.055408e-03
0.955         	2.020985e-03
0.96          	1.967911e-03
0.965         	1.967638e-03
0.97          	1.965621e-03
0.975         	1.945470e-03
0.98          	1.909238e-03
0.985         	1.867909e-03
0.99          	1.850452e-03
0.995         	1.851748e-03
1             	1.846319e-03
1.005         	1.818688e-03
