# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	5.285227e-01
0.015         	6.001419e-01
0.02          	8.131528e-01
0.025         	4.752427e-01
0.03          	2.579501e-01
0.035         	1.396785e-01
0.04          	7.706046e-02
0.045         	4.832017e-02
0.05          	3.430762e-02
0.055         	2.675817e-02
0.06          	2.264604e-02
0.065         	1.981219e-02
0.07          	1.774756e-02
0.075         	1.625054e-02
0.08          	1.472977e-02
0.085         	1.347436e-02
0.09          	1.259521e-02
0.095         	1.223493e-02
0.1           	1.193795e-02
0.105         	1.167936e-02
0.11          	1.170636e-02
0.115         	1.186779e-02
0.12          	9.126595e-02
0.125         	7.188952e-02
0.13          	1.725041e-02
0.135         	1.213533e-02
0.14          	9.483782e-03
0.145         	9.030131e-03
0.15          	8.835587e-03
0.155         	8.566504e-03
0.16          	8.311520e-03
0.165         	8.089939e-03
0.17          	7.941576e-03
0.175         	7.676724e-03
0.18          	7.440457e-03
0.185         	7.130947e-03
0.19          	6.852556e-03
0.195         	6.630789e-03
0.2           	6.407569e-03
0.205         	4.323146e-02
0.21          	4.944413e-02
0.215         	2.139695e-02
0.22          	1.050298e-02
0.225         	9.599261e-02
0.23          	2.194593e-02
0.235         	1.109548e-02
0.24          	7.724519e-03
0.245         	6.414411e-03
0.25          	5.812280e-03
0.255         	5.486860e-03
0.26          	1.383297e-02
0.265         	6.385988e-03
0.27          	5.356537e-03
0.275         	6.992889e-03
0.28          	5.925684e-03
0.285         	5.320933e-03
0.29          	4.802766e-03
0.295         	4.748536e-03
0.3           	4.653059e-03
0.305         	4.584845e-03
0.31          	4.493910e-03
0.315         	4.400640e-03
0.32          	4.403201e-03
0.325         	4.386249e-03
0.33          	4.372874e-03
0.335         	4.771197e-03
0.34          	5.964735e-03
0.345         	4.590288e-03
0.35          	4.143803e-03
0.355         	3.992229e-03
0.36          	4.040400e-03
0.365         	7.127521e-03
0.37          	4.419345e-03
0.375         	4.548834e-03
0.38          	3.597219e-03
0.385         	3.518931e-03
0.39          	3.487112e-03
0.395         	4.127588e-03
0.4           	3.665001e-03
0.405         	5.182200e-03
0.41          	3.829024e-03
0.415         	3.190943e-03
0.42          	2.986755e-03
0.425         	2.879513e-03
0.43          	2.828836e-03
0.435         	3.395166e-03
0.44          	3.471999e-03
0.445         	2.933507e-03
0.45          	6.941996e-03
0.455         	4.714381e-03
0.46          	3.347113e-03
0.465         	2.856480e-03
0.47          	2.586296e-03
0.475         	2.482267e-03
0.48          	2.634327e-03
0.485         	2.453451e-03
0.49          	2.368074e-03
0.495         	2.381551e-03
0.5           	2.465533e-03
0.505         	2.747606e-03
0.51          	2.805468e-03
0.515         	2.307877e-03
0.52          	2.209616e-03
0.525         	2.354467e-03
0.53          	2.281015e-03
0.535         	2.110633e-03
0.54          	2.086041e-03
0.545         	2.066825e-03
0.55          	2.334340e-03
0.555         	2.380791e-03
0.56          	2.212096e-03
0.565         	2.110771e-03
0.57          	2.162330e-03
0.575         	1.995205e-03
0.58          	1.952181e-03
0.585         	2.184991e-03
0.59          	2.114578e-03
0.595         	2.095439e-03
0.6           	2.124879e-03
0.605         	2.301170e-03
0.61          	2.129141e-03
0.615         	2.232979e-03
0.62          	2.046714e-03
0.625         	2.161125e-03
0.63          	2.372347e-03
0.635         	2.517959e-03
0.64          	1.836124e-03
0.645         	1.820984e-03
0.65          	1.641494e-03
0.655         	1.632589e-03
0.66          	1.652152e-03
0.665         	1.653792e-03
0.67          	1.571892e-03
0.675         	1.506922e-03
0.68          	1.466660e-03
0.685         	1.542534e-03
0.69          	1.558983e-03
0.695         	1.478468e-03
0.7           	1.495898e-03
0.705         	1.484921e-03
0.71          	1.722043e-03
0.715         	2.059639e-03
0.72          	1.734720e-03
0.725         	1.502133e-03
0.73          	1.990533e-03
0.735         	1.526272e-03
0.74          	1.371814e-03
0.745         	1.423433e-03
0.75          	1.464010e-03
0.755         	1.460472e-03
0.76          	2.575440e-03
0.765         	2.799839e-03
0.77          	1.562034e-03
0.775         	1.378380e-03
0.78          	1.321369e-03
0.785         	1.452236e-03
0.79          	1.333695e-03
0.795         	1.280359e-03
0.8           	1.238568e-03
0.805         	1.317340e-03
0.81          	1.216917e-03
0.815         	1.294324e-03
0.82          	1.213334e-03
0.825         	1.215863e-03
0.83          	1.290514e-03
0.835         	1.327478e-03
0.84          	1.412507e-03
0.845         	1.170718e-03
0.85          	1.134909e-03
0.855         	1.150488e-03
0.86          	1.325010e-03
0.865         	1.152000e-03
0.87          	1.143028e-03
0.875         	1.148514e-03
0.88          	1.187634e-03
0.885         	1.110546e-03
0.89          	1.110748e-03
0.895         	1.161448e-03
0.9           	1.273312e-03
0.905         	1.379883e-03
0.91          	1.417751e-03
0.915         	1.286930e-03
0.92          	1.327570e-03
0.925         	1.297321e-03
0.93          	1.265590e-03
0.935         	1.076468e-03
0.94          	1.046481e-03
0.945         	1.044990e-03
0.95          	1.128910e-03
0.955         	1.104798e-03
0.96          	1.034358e-03
0.965         	9.930743e-04
0.97          	1.021149e-03
0.975         	1.028525e-03
0.98          	1.020211e-03
0.985         	1.024462e-03
0.99          	1.024455e-03
0.995         	1.228362e-03
1             	4.209784e-03
1.005         	3.362202e-03
