# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	2.749820e-01
0.015         	2.631033e-01
0.02          	2.319940e-01
0.025         	8.305030e-02
0.03          	5.403324e-02
0.035         	3.710709e-02
0.04          	2.700525e-02
0.045         	2.167835e-02
0.05          	2.033409e-02
0.055         	2.002456e-02
0.06          	1.833426e-02
0.065         	1.655862e-02
0.07          	1.472035e-02
0.075         	1.379794e-02
0.08          	1.317729e-02
0.085         	1.222743e-02
0.09          	1.170254e-02
0.095         	1.161613e-02
0.1           	1.124626e-02
0.105         	1.074921e-02
0.11          	1.049722e-02
0.115         	1.056359e-02
0.12          	1.060736e-02
0.125         	1.046219e-02
0.13          	1.080211e-02
0.135         	1.066784e-02
0.14          	1.026687e-02
0.145         	9.669825e-03
0.15          	9.620276e-03
0.155         	9.591747e-03
0.16          	9.731161e-03
0.165         	9.447943e-03
0.17          	9.259960e-03
0.175         	9.400969e-03
0.18          	9.593350e-03
0.185         	9.682487e-03
0.19          	9.713378e-03
0.195         	9.487568e-03
0.2           	9.537226e-03
0.205         	1.000013e-02
0.21          	9.561808e-03
0.215         	9.194408e-03
0.22          	8.920599e-03
0.225         	9.105652e-03
0.23          	9.007031e-03
0.235         	8.863512e-03
0.24          	8.665582e-03
0.245         	8.494662e-03
0.25          	8.407778e-03
0.255         	8.382773e-03
0.26          	8.288285e-03
0.265         	8.168257e-03
0.27          	8.153530e-03
0.275         	8.000704e-03
0.28          	7.960007e-03
0.285         	8.384295e-03
0.29          	8.119629e-03
0.295         	7.958555e-03
0.3           	7.833320e-03
0.305         	7.625993e-03
0.31          	7.582128e-03
0.315         	7.686201e-03
0.32          	7.657199e-03
0.325         	7.572647e-03
0.33          	7.366886e-03
0.335         	7.305558e-03
0.34          	7.427550e-03
0.345         	7.425329e-03
0.35          	7.256461e-03
0.355         	7.083892e-03
0.36          	7.040701e-03
0.365         	7.191475e-03
0.37          	7.236578e-03
0.375         	7.082512e-03
0.38          	6.811365e-03
0.385         	6.761036e-03
0.39          	6.903018e-03
0.395         	6.984881e-03
0.4           	6.867499e-03
0.405         	6.589678e-03
0.41          	6.525198e-03
0.415         	6.688503e-03
0.42          	7.046768e-03
0.425         	6.956846e-03
0.43          	6.655755e-03
0.435         	6.640416e-03
0.44          	6.842042e-03
0.445         	6.720219e-03
0.45          	6.471877e-03
0.455         	6.226024e-03
0.46          	6.151286e-03
0.465         	6.172314e-03
0.47          	6.278070e-03
0.475         	6.171696e-03
0.48          	5.954487e-03
0.485         	5.878757e-03
0.49          	5.850065e-03
0.495         	5.967398e-03
0.5           	5.883909e-03
0.505         	5.722135e-03
0.51          	5.665483e-03
0.515         	5.615455e-03
0.52          	5.582659e-03
0.525         	5.575194e-03
0.53          	5.460707e-03
0.535         	5.341274e-03
0.54          	5.266722e-03
0.545         	5.239533e-03
0.55          	5.243595e-03
0.555         	5.124915e-03
0.56          	5.026129e-03
0.565         	4.936003e-03
0.57          	4.955301e-03
0.575         	4.942605e-03
0.58          	4.951178e-03
0.585         	4.800043e-03
0.59          	4.761134e-03
0.595         	4.733468e-03
0.6           	4.672756e-03
0.605         	4.620766e-03
0.61          	4.536866e-03
0.615         	4.495744e-03
0.62          	4.415426e-03
0.625         	4.332411e-03
0.63          	4.314976e-03
0.635         	4.282600e-03
0.64          	4.244853e-03
0.645         	4.166436e-03
0.65          	4.190240e-03
0.655         	4.161239e-03
0.66          	4.128360e-03
0.665         	4.090856e-03
0.67          	4.012299e-03
0.675         	3.915012e-03
0.68          	3.828663e-03
0.685         	3.824727e-03
0.69          	3.820758e-03
0.695         	3.742701e-03
0.7           	3.704115e-03
0.705         	3.519006e-03
0.71          	3.502317e-03
0.715         	3.639737e-03
0.72          	3.520368e-03
0.725         	3.424367e-03
0.73          	3.325505e-03
0.735         	3.292294e-03
0.74          	3.330152e-03
0.745         	3.321286e-03
0.75          	3.245402e-03
0.755         	3.119428e-03
0.76          	3.083790e-03
0.765         	3.083149e-03
0.77          	3.069286e-03
0.775         	3.057320e-03
0.78          	2.951339e-03
0.785         	2.912659e-03
0.79          	2.914765e-03
0.795         	2.879460e-03
0.8           	2.905549e-03
0.805         	2.859564e-03
0.81          	2.799218e-03
0.815         	2.782874e-03
0.82          	2.748155e-03
0.825         	2.691664e-03
0.83          	2.648374e-03
0.835         	2.654331e-03
0.84          	2.617266e-03
0.845         	2.565359e-03
0.85          	2.534287e-03
0.855         	2.542793e-03
0.86          	2.487742e-03
0.865         	2.486396e-03
0.87          	2.463687e-03
0.875         	2.470595e-03
0.88          	2.482378e-03
0.885         	2.443410e-03
0.89          	2.417946e-03
0.895         	2.361600e-03
0.9           	2.369904e-03
0.905         	2.367091e-03
0.91          	2.328319e-03
0.915         	2.277782e-03
0.92          	2.239914e-03
0.925         	2.240034e-03
0.93          	2.250500e-03
0.935         	2.209121e-03
0.94          	2.184566e-03
0.945         	2.156391e-03
0.95          	2.111173e-03
0.955         	2.118680e-03
0.96          	2.111927e-03
0.965         	2.085323e-03
0.97          	2.068013e-03
0.975         	2.065043e-03
0.98          	2.038564e-03
0.985         	2.011771e-03
0.99          	1.977256e-03
0.995         	1.974089e-03
1             	1.942390e-03
1.005         	1.942126e-03
