# Region      : all 
# Cells       : 64000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	6.240463e-04
0.1           	1.124046e-03
0.15          	1.624046e-03
0.2           	2.124046e-03
0.25          	2.624046e-03
0.3           	3.124046e-03
0.35          	3.624046e-03
0.4           	4.124046e-03
0.45          	4.624046e-03
0.5           	5.124046e-03
0.55          	5.624046e-03
0.6           	6.124046e-03
0.65          	6.624046e-03
0.7           	7.124047e-03
0.75          	7.624047e-03
0.8           	8.124047e-03
0.85          	8.624047e-03
0.9           	9.124047e-03
0.95          	9.624047e-03
1             	1.012405e-02
1.05          	1.062405e-02
1.1           	1.112405e-02
1.15          	1.162405e-02
1.2           	1.212405e-02
1.25          	1.262405e-02
1.3           	1.312405e-02
1.35          	1.362405e-02
1.4           	1.412405e-02
1.45          	1.462405e-02
1.5           	1.512405e-02
1.55          	1.562405e-02
1.6           	1.612405e-02
1.65          	1.662405e-02
1.7           	1.712405e-02
1.75          	1.762405e-02
1.8           	1.812405e-02
1.85          	1.862405e-02
1.9           	1.912405e-02
1.95          	1.962405e-02
2             	2.012405e-02
2.05          	2.062405e-02
2.1           	2.112405e-02
2.15          	2.162405e-02
2.2           	2.212405e-02
2.25          	2.262405e-02
2.3           	2.312405e-02
2.35          	2.362405e-02
2.4           	2.412405e-02
2.45          	2.462405e-02
2.5           	2.512405e-02
2.55          	2.562405e-02
2.6           	2.612405e-02
2.65          	2.662405e-02
2.7           	2.712405e-02
2.75          	2.762405e-02
2.8           	2.812405e-02
2.85          	2.862405e-02
2.9           	2.912405e-02
2.95          	2.962405e-02
3             	3.012405e-02
3.05          	3.062405e-02
3.1           	3.112405e-02
3.15          	3.162405e-02
3.2           	3.212405e-02
3.25          	3.262405e-02
3.3           	3.312405e-02
3.35          	3.362405e-02
3.4           	3.412405e-02
3.45          	3.462405e-02
3.5           	3.512405e-02
3.55          	3.562405e-02
3.6           	3.612405e-02
3.65          	3.662405e-02
3.7           	3.712405e-02
3.75          	3.762405e-02
3.8           	3.812401e-02
3.85          	3.862354e-02
3.9           	3.912088e-02
3.95          	3.961209e-02
4             	4.009115e-02
4.05          	4.055092e-02
4.1           	4.098395e-02
4.15          	4.138356e-02
4.2           	4.174299e-02
4.25          	4.205493e-02
4.3           	4.231141e-02
4.35          	4.250696e-02
4.4           	4.264343e-02
4.45          	4.272992e-02
4.5           	4.277642e-02
4.55          	4.279225e-02
4.6           	4.279068e-02
4.65          	4.279029e-02
4.7           	4.279779e-02
4.75          	4.280878e-02
4.8           	4.281498e-02
4.85          	4.280712e-02
4.9           	4.277246e-02
4.95          	4.269623e-02
5             	4.256798e-02
5.05          	4.239295e-02
5.1           	4.221549e-02
5.15          	4.211304e-02
5.2           	4.209415e-02
5.25          	4.212141e-02
5.3           	4.216621e-02
5.35          	4.221072e-02
5.4           	4.224346e-02
5.45          	4.225798e-02
5.5           	4.225020e-02
5.55          	4.221595e-02
5.6           	4.215572e-02
5.65          	4.208684e-02
5.7           	4.203343e-02
5.75          	4.200359e-02
5.8           	4.199442e-02
5.85          	4.200044e-02
5.9           	4.201800e-02
5.95          	4.204448e-02
6             	4.207786e-02
6.05          	4.211607e-02
6.1           	4.215721e-02
6.15          	4.219995e-02
6.2           	4.224330e-02
6.25          	4.228696e-02
6.3           	4.233086e-02
6.35          	4.237539e-02
6.4           	4.242068e-02
6.45          	4.246612e-02
6.5           	4.251115e-02
6.55          	4.255546e-02
6.6           	4.259889e-02
6.65          	4.264119e-02
6.7           	4.268195e-02
6.75          	4.272080e-02
6.8           	4.275730e-02
6.85          	4.279119e-02
6.9           	4.282246e-02
6.95          	4.285100e-02
7             	4.287645e-02
7.05          	4.289845e-02
7.1           	4.291657e-02
7.15          	4.293017e-02
7.2           	4.293871e-02
7.25          	4.294179e-02
7.3           	4.293895e-02
7.35          	4.292977e-02
7.4           	4.291388e-02
7.45          	4.289110e-02
7.5           	4.286151e-02
7.55          	4.282545e-02
7.6           	4.278345e-02
7.65          	4.273629e-02
7.7           	4.268494e-02
7.75          	4.263043e-02
7.8           	4.257387e-02
7.85          	4.251623e-02
7.9           	4.245823e-02
7.95          	4.240036e-02
8             	4.234290e-02
8.05          	4.228614e-02
8.1           	4.223060e-02
8.15          	4.217728e-02
8.2           	4.212764e-02
8.25          	4.208343e-02
8.3           	4.204612e-02
8.35          	4.201644e-02
8.4           	4.199423e-02
8.45          	4.197855e-02
8.5           	4.196828e-02
8.55          	4.196212e-02
8.6           	4.195890e-02
8.65          	4.195783e-02
8.7           	4.195874e-02
8.75          	4.196184e-02
8.8           	4.196735e-02
8.85          	4.197531e-02
8.9           	4.198558e-02
8.95          	4.199774e-02
9             	4.201095e-02
9.05          	4.202421e-02
9.1           	4.203722e-02
9.15          	4.205024e-02
9.2           	4.206286e-02
9.25          	4.207477e-02
9.3           	4.208607e-02
9.35          	4.209709e-02
9.4           	4.210793e-02
9.45          	4.211861e-02
9.5           	4.212926e-02
9.55          	4.214012e-02
9.6           	4.215143e-02
9.65          	4.216326e-02
9.7           	4.217557e-02
9.75          	4.218823e-02
9.8           	4.220099e-02
9.85          	4.221365e-02
9.9           	4.222616e-02
9.95          	4.223844e-02
10            	4.225027e-02
10.05         	4.226150e-02
10.1          	4.227196e-02
10.15         	4.228160e-02
10.2          	4.229046e-02
10.25         	4.229862e-02
10.3          	4.230629e-02
10.35         	4.231364e-02
10.4          	4.232094e-02
10.45         	4.232828e-02
10.5          	4.233566e-02
10.55         	4.234308e-02
10.6          	4.235044e-02
10.65         	4.235765e-02
10.7          	4.236458e-02
10.75         	4.237110e-02
10.8          	4.237701e-02
10.85         	4.238213e-02
10.9          	4.238638e-02
10.95         	4.238974e-02
11            	4.239206e-02
11.05         	4.239330e-02
11.1          	4.239348e-02
11.15         	4.239250e-02
11.2          	4.239026e-02
11.25         	4.238692e-02
11.3          	4.238265e-02
11.35         	4.237767e-02
11.4          	4.237220e-02
11.45         	4.236640e-02
11.5          	4.236040e-02
11.55         	4.235438e-02
11.6          	4.234846e-02
11.65         	4.234274e-02
11.7          	4.233745e-02
11.75         	4.233265e-02
11.8          	4.232834e-02
11.85         	4.232443e-02
11.9          	4.232087e-02
11.95         	4.231742e-02
12            	4.231401e-02
12.05         	4.231065e-02
12.1          	4.230725e-02
12.15         	4.230375e-02
12.2          	4.230001e-02
12.25         	4.229584e-02
12.3          	4.229127e-02
12.35         	4.228644e-02
12.4          	4.228147e-02
12.45         	4.227636e-02
12.5          	4.227124e-02
12.55         	4.226617e-02
12.6          	4.226118e-02
12.65         	4.225647e-02
12.7          	4.225227e-02
12.75         	4.224890e-02
12.8          	4.224658e-02
12.85         	4.224554e-02
12.9          	4.224592e-02
12.95         	4.224777e-02
13            	4.225114e-02
13.05         	4.225593e-02
13.1          	4.226189e-02
13.15         	4.226876e-02
13.2          	4.227613e-02
13.25         	4.228347e-02
13.3          	4.229019e-02
13.35         	4.229579e-02
13.4          	4.229983e-02
13.45         	4.230191e-02
13.5          	4.230201e-02
13.55         	4.230032e-02
13.6          	4.229729e-02
13.65         	4.229354e-02
13.7          	4.228977e-02
13.75         	4.228659e-02
13.8          	4.228449e-02
13.85         	4.228356e-02
13.9          	4.228372e-02
13.95         	4.228469e-02
14            	4.228622e-02
14.05         	4.228791e-02
14.1          	4.228930e-02
14.15         	4.229005e-02
14.2          	4.228979e-02
14.25         	4.228832e-02
14.3          	4.228571e-02
14.35         	4.228262e-02
14.4          	4.227989e-02
14.45         	4.227836e-02
14.5          	4.227842e-02
14.55         	4.228015e-02
14.6          	4.228346e-02
14.65         	4.228819e-02
14.7          	4.229407e-02
14.75         	4.230077e-02
14.8          	4.230793e-02
14.85         	4.231517e-02
14.9          	4.232206e-02
14.95         	4.232807e-02
15            	4.233278e-02
15.05         	4.233570e-02
15.1          	4.233622e-02
15.15         	4.233373e-02
15.2          	4.232768e-02
15.25         	4.231763e-02
15.3          	4.230353e-02
15.35         	4.228577e-02
15.4          	4.226507e-02
15.45         	4.224252e-02
15.5          	4.221933e-02
15.55         	4.219672e-02
15.6          	4.217595e-02
15.65         	4.215769e-02
15.7          	4.214199e-02
15.75         	4.212839e-02
15.8          	4.211628e-02
15.85         	4.210480e-02
15.9          	4.209304e-02
15.95         	4.208039e-02
16            	4.206673e-02
16.05         	4.205263e-02
16.1          	4.203934e-02
16.15         	4.202839e-02
16.2          	4.202117e-02
16.25         	4.201852e-02
16.3          	4.202096e-02
16.35         	4.202885e-02
16.4          	4.204250e-02
16.45         	4.206205e-02
16.5          	4.208738e-02
16.55         	4.211812e-02
16.6          	4.215367e-02
16.65         	4.219319e-02
16.7          	4.223571e-02
16.75         	4.228012e-02
16.8          	4.232516e-02
16.85         	4.236923e-02
16.9          	4.241033e-02
16.95         	4.244604e-02
17            	4.247404e-02
17.05         	4.249176e-02
17.1          	4.249665e-02
17.15         	4.248693e-02
17.2          	4.246125e-02
17.25         	4.241790e-02
17.3          	4.235482e-02
17.35         	4.227348e-02
17.4          	4.217940e-02
17.45         	4.207983e-02
17.5          	4.198289e-02
17.55         	4.189196e-02
17.6          	4.180831e-02
17.65         	4.173244e-02
17.7          	4.166754e-02
17.75         	4.161517e-02
17.8          	4.157534e-02
17.85         	4.154797e-02
17.9          	4.153250e-02
17.95         	4.152751e-02
18            	4.152986e-02
18.05         	4.153687e-02
18.1          	4.154708e-02
18.15         	4.156029e-02
18.2          	4.157609e-02
18.25         	4.159361e-02
18.3          	4.161199e-02
18.35         	4.163036e-02
18.4          	4.164773e-02
18.45         	4.166286e-02
18.5          	4.167424e-02
18.55         	4.168022e-02
18.6          	4.167956e-02
18.65         	4.167153e-02
18.7          	4.165572e-02
18.75         	4.163187e-02
18.8          	4.160034e-02
18.85         	4.156105e-02
18.9          	4.151430e-02
18.95         	4.146068e-02
19            	4.140206e-02
19.05         	4.133982e-02
19.1          	4.127516e-02
19.15         	4.120855e-02
19.2          	4.114074e-02
19.25         	4.107440e-02
19.3          	4.101252e-02
19.35         	4.095754e-02
19.4          	4.091010e-02
19.45         	4.087041e-02
19.5          	4.083802e-02
19.55         	4.081320e-02
19.6          	4.079641e-02
19.65         	4.078679e-02
19.7          	4.078415e-02
19.75         	4.078967e-02
19.8          	4.080379e-02
19.85         	4.082256e-02
19.9          	4.084213e-02
19.95         	4.086097e-02
20            	4.087798e-02
20.05         	4.089244e-02
20.1          	4.090377e-02
20.15         	4.091090e-02
20.2          	4.091244e-02
20.25         	4.090732e-02
20.3          	4.089496e-02
20.35         	4.087558e-02
20.4          	4.084922e-02
20.45         	4.081543e-02
20.5          	4.077341e-02
20.55         	4.072265e-02
20.6          	4.066357e-02
20.65         	4.059748e-02
20.7          	4.052610e-02
20.75         	4.045109e-02
20.8          	4.037401e-02
20.85         	4.029617e-02
20.9          	4.021852e-02
20.95         	4.014159e-02
21            	4.006558e-02
21.05         	3.999048e-02
21.1          	3.991622e-02
21.15         	3.984246e-02
21.2          	3.976916e-02
21.25         	3.969673e-02
21.3          	3.962567e-02
21.35         	3.955601e-02
21.4          	3.948757e-02
21.45         	3.942019e-02
21.5          	3.935454e-02
21.55         	3.929194e-02
21.6          	3.923387e-02
21.65         	3.918223e-02
21.7          	3.913926e-02
21.75         	3.910720e-02
21.8          	3.908781e-02
21.85         	3.908276e-02
21.9          	3.909297e-02
21.95         	3.911758e-02
22            	3.915472e-02
22.05         	3.920134e-02
22.1          	3.925475e-02
22.15         	3.931291e-02
22.2          	3.937442e-02
22.25         	3.943926e-02
22.3          	3.950810e-02
22.35         	3.958184e-02
22.4          	3.966013e-02
22.45         	3.974277e-02
22.5          	3.982810e-02
22.55         	3.991505e-02
22.6          	4.000152e-02
22.65         	4.008550e-02
22.7          	4.016506e-02
22.75         	4.023895e-02
22.8          	4.030629e-02
22.85         	4.036698e-02
22.9          	4.042166e-02
22.95         	4.047080e-02
23            	4.051493e-02
23.05         	4.055512e-02
23.1          	4.059246e-02
23.15         	4.062820e-02
23.2          	4.066331e-02
23.25         	4.069783e-02
23.3          	4.073137e-02
23.35         	4.076325e-02
23.4          	4.079389e-02
23.45         	4.082393e-02
23.5          	4.085371e-02
23.55         	4.088361e-02
23.6          	4.091365e-02
23.65         	4.094365e-02
23.7          	4.097318e-02
23.75         	4.100190e-02
23.8          	4.102945e-02
23.85         	4.105536e-02
23.9          	4.107884e-02
23.95         	4.109879e-02
24            	4.111403e-02
24.05         	4.112329e-02
24.1          	4.112534e-02
24.15         	4.111900e-02
24.2          	4.110356e-02
24.25         	4.107894e-02
24.3          	4.104560e-02
24.35         	4.100457e-02
24.4          	4.095740e-02
24.45         	4.090635e-02
24.5          	4.085417e-02
24.55         	4.080374e-02
24.6          	4.075690e-02
24.65         	4.071414e-02
24.7          	4.067453e-02
24.75         	4.063647e-02
24.8          	4.059852e-02
24.85         	4.056107e-02
24.9          	4.052610e-02
24.95         	4.049508e-02
25            	4.046893e-02
25.05         	4.044802e-02
25.1          	4.043170e-02
25.15         	4.041873e-02
25.2          	4.040823e-02
25.25         	4.040005e-02
25.3          	4.039486e-02
25.35         	4.039391e-02
25.4          	4.039818e-02
