# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	4.077897e-01
0.015         	4.667549e-01
0.02          	6.856069e-01
0.025         	3.631176e-01
0.03          	1.184732e-01
0.035         	5.379392e-02
0.04          	3.595512e-02
0.045         	2.819034e-02
0.05          	2.403653e-02
0.055         	2.178660e-02
0.06          	1.975440e-02
0.065         	1.798985e-02
0.07          	1.623871e-02
0.075         	1.509493e-02
0.08          	1.463404e-02
0.085         	1.426806e-02
0.09          	1.366748e-02
0.095         	1.281091e-02
0.1           	1.221074e-02
0.105         	1.189795e-02
0.11          	1.166705e-02
0.115         	1.138157e-02
0.12          	1.119948e-02
0.125         	1.109754e-02
0.13          	1.780571e-01
0.135         	2.114369e-02
0.14          	1.898921e-02
0.145         	1.223316e-02
0.15          	1.012546e-02
0.155         	9.724858e-03
0.16          	9.577286e-03
0.165         	9.503407e-03
0.17          	9.273866e-03
0.175         	9.185294e-03
0.18          	9.088095e-03
0.185         	9.053629e-03
0.19          	9.087820e-03
0.195         	9.226517e-03
0.2           	9.773304e-03
0.205         	8.602893e-03
0.21          	8.625856e-03
0.215         	8.689313e-03
0.22          	1.775152e-02
0.225         	8.799831e-03
0.23          	6.844339e-03
0.235         	6.819767e-03
0.24          	6.649780e-03
0.245         	6.511312e-03
0.25          	6.390780e-03
0.255         	6.111073e-03
0.26          	6.055053e-03
0.265         	6.177938e-03
0.27          	6.539758e-03
0.275         	6.666578e-03
0.28          	8.072496e-03
0.285         	7.560098e-02
0.29          	1.899231e-01
0.295         	1.042597e-01
0.3           	5.136181e-02
0.305         	2.070391e-02
0.31          	1.061250e-02
0.315         	8.332321e-03
0.32          	7.694810e-03
0.325         	7.499074e-03
0.33          	7.416732e-03
0.335         	7.314955e-03
0.34          	7.285535e-03
0.345         	7.372093e-03
0.35          	7.696792e-03
0.355         	1.096845e-02
0.36          	1.131282e-02
0.365         	7.919515e-03
0.37          	7.274557e-03
0.375         	7.119346e-03
0.38          	7.352540e-03
0.385         	7.175214e-03
0.39          	7.889384e-03
0.395         	7.699355e-03
0.4           	7.249429e-03
0.405         	7.032478e-03
0.41          	9.070502e-03
0.415         	7.842671e-03
0.42          	7.660465e-03
0.425         	9.480165e-03
0.43          	8.085282e-03
0.435         	8.530884e-03
0.44          	8.277562e-03
0.445         	9.252832e-03
0.45          	7.037835e-03
0.455         	6.631157e-03
0.46          	6.563927e-03
0.465         	6.596785e-03
0.47          	7.780175e-03
0.475         	6.786963e-03
0.48          	6.583526e-03
0.485         	1.534037e-02
0.49          	8.341817e-03
0.495         	6.514096e-03
0.5           	6.248926e-03
0.505         	7.408080e-03
0.51          	6.068635e-03
0.515         	5.977705e-03
0.52          	5.935564e-03
0.525         	6.415863e-03
0.53          	6.964173e-03
0.535         	6.847301e-03
0.54          	5.895594e-03
0.545         	6.158073e-03
0.55          	6.324467e-03
0.555         	5.850776e-03
0.56          	5.636308e-03
0.565         	5.670104e-03
0.57          	7.268249e-03
0.575         	6.672692e-03
0.58          	5.666722e-03
0.585         	5.466308e-03
0.59          	6.330678e-03
0.595         	6.556745e-03
0.6           	6.724399e-03
0.605         	6.913868e-03
0.61          	1.575228e-02
0.615         	1.260936e-02
0.62          	8.515022e-03
0.625         	7.038678e-03
0.63          	7.963169e-03
0.635         	7.059690e-03
0.64          	6.021393e-03
0.645         	5.641819e-03
0.65          	5.523364e-03
0.655         	5.472852e-03
0.66          	5.401139e-03
0.665         	5.330853e-03
0.67          	5.380884e-03
0.675         	5.406705e-03
0.68          	5.435105e-03
0.685         	7.749483e-03
0.69          	6.187965e-03
0.695         	5.624983e-03
0.7           	5.304986e-03
0.705         	6.334093e-03
0.71          	6.529568e-03
0.715         	5.464734e-03
0.72          	5.214140e-03
0.725         	5.132036e-03
0.73          	1.427124e-02
0.735         	5.530631e-03
0.74          	5.252837e-03
0.745         	5.249109e-03
0.75          	5.230530e-03
0.755         	5.272801e-03
0.76          	4.830148e-03
0.765         	5.100315e-03
0.77          	5.149717e-03
0.775         	3.393189e-02
0.78          	8.362755e-03
0.785         	7.092698e-03
0.79          	5.509786e-03
0.795         	5.318674e-03
0.8           	4.807692e-03
0.805         	4.549508e-03
0.81          	4.498468e-03
0.815         	4.520423e-03
0.82          	4.588235e-03
0.825         	5.692692e-03
0.83          	5.369294e-03
0.835         	5.362701e-03
0.84          	4.573873e-03
0.845         	5.096858e-03
0.85          	5.170520e-03
0.855         	3.389694e-02
0.86          	8.260664e-03
0.865         	6.415630e-03
0.87          	5.200058e-03
0.875         	5.462652e-03
0.88          	4.913545e-03
0.885         	4.429864e-03
0.89          	4.635458e-03
0.895         	4.704933e-03
0.9           	5.025523e-03
0.905         	8.005103e-03
0.91          	6.585679e-03
0.915         	5.102819e-03
0.92          	4.569954e-03
0.925         	5.892199e-03
0.93          	4.641122e-03
0.935         	4.387976e-03
0.94          	4.565301e-03
0.945         	4.646233e-03
0.95          	4.604216e-03
0.955         	4.683264e-03
0.96          	5.177638e-03
0.965         	4.346966e-03
0.97          	4.350077e-03
0.975         	4.808378e-03
0.98          	5.862359e-03
0.985         	5.356191e-03
0.99          	4.662008e-03
0.995         	4.289633e-03
1             	4.123471e-03
1.005         	4.164272e-03
