# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	2.687949e-01
0.015         	2.601434e-01
0.02          	2.258619e-01
0.025         	8.350638e-02
0.03          	5.363433e-02
0.035         	3.832642e-02
0.04          	2.803814e-02
0.045         	2.222964e-02
0.05          	2.050657e-02
0.055         	1.920592e-02
0.06          	1.752302e-02
0.065         	1.604747e-02
0.07          	1.500454e-02
0.075         	1.395431e-02
0.08          	1.310455e-02
0.085         	1.233204e-02
0.09          	1.195192e-02
0.095         	1.146627e-02
0.1           	1.112688e-02
0.105         	1.095506e-02
0.11          	1.285908e-02
0.115         	7.746130e-02
0.12          	2.532083e-02
0.125         	1.053513e-01
0.13          	2.053892e-02
0.135         	1.790721e-02
0.14          	5.354309e-02
0.145         	1.866852e-02
0.15          	1.553214e-02
0.155         	1.601364e-02
0.16          	1.403712e-02
0.165         	2.051145e-02
0.17          	1.118079e-02
0.175         	1.003604e-02
0.18          	9.779740e-03
0.185         	9.500007e-03
0.19          	9.430429e-03
0.195         	9.568082e-03
0.2           	9.726414e-03
0.205         	9.132713e-03
0.21          	9.026770e-03
0.215         	1.129697e-02
0.22          	9.553103e-03
0.225         	1.611269e-01
0.23          	3.260100e-02
0.235         	2.405434e-01
0.24          	2.115658e-01
0.245         	1.038627e-01
0.25          	4.041402e-02
0.255         	2.100479e-02
0.26          	1.465908e-02
0.265         	1.249453e-02
0.27          	1.229422e-02
0.275         	1.179558e-02
0.28          	1.153115e-02
0.285         	1.197314e-02
0.29          	1.508847e-02
0.295         	1.153294e-02
0.3           	1.104663e-02
0.305         	1.136576e-02
0.31          	1.133397e-02
0.315         	1.019770e-02
0.32          	9.946754e-03
0.325         	9.731138e-03
0.33          	1.002818e-02
0.335         	1.008698e-02
0.34          	9.639202e-03
0.345         	9.503707e-03
0.35          	9.614599e-03
0.355         	9.721189e-03
0.36          	1.186136e-02
0.365         	1.136392e-02
0.37          	9.586268e-03
0.375         	8.302191e-03
0.38          	8.352978e-03
0.385         	7.812017e-03
0.39          	7.597778e-03
0.395         	8.070814e-03
0.4           	7.929286e-03
0.405         	7.959872e-03
0.41          	8.524832e-03
0.415         	1.012756e-02
0.42          	1.316848e-02
0.425         	9.064671e-03
0.43          	7.433647e-03
0.435         	6.793419e-03
0.44          	6.586893e-03
0.445         	6.476715e-03
0.45          	6.419790e-03
0.455         	6.331700e-03
0.46          	6.397836e-03
0.465         	6.253716e-03
0.47          	6.253929e-03
0.475         	5.936530e-03
0.48          	1.051765e-02
0.485         	6.913273e-03
0.49          	5.836467e-03
0.495         	5.591868e-03
0.5           	5.306073e-03
0.505         	5.204828e-03
0.51          	5.631067e-03
0.515         	6.054409e-03
0.52          	5.460758e-03
0.525         	4.925199e-03
0.53          	4.961997e-03
0.535         	4.707702e-03
0.54          	4.521962e-03
0.545         	4.807969e-03
0.55          	5.617581e-03
0.555         	5.425830e-03
0.56          	4.927029e-03
0.565         	4.207932e-03
0.57          	4.122806e-03
0.575         	4.193699e-03
0.58          	4.241770e-03
0.585         	4.024009e-03
0.59          	3.950985e-03
0.595         	3.889041e-03
0.6           	4.360564e-03
0.605         	4.298597e-03
0.61          	4.035573e-03
0.615         	4.047340e-03
0.62          	4.026044e-03
0.625         	3.795557e-03
0.63          	3.739866e-03
0.635         	3.533676e-03
0.64          	3.524374e-03
0.645         	4.107776e-03
0.65          	4.177971e-03
0.655         	3.762437e-03
0.66          	3.429576e-03
0.665         	4.722710e-03
0.67          	6.527163e-03
0.675         	3.954434e-03
0.68          	3.740283e-03
0.685         	3.457868e-03
0.69          	3.792419e-03
0.695         	3.318776e-03
0.7           	3.158434e-03
0.705         	3.245235e-03
0.71          	3.185202e-03
0.715         	2.983887e-03
0.72          	3.051663e-03
0.725         	3.410409e-03
0.73          	2.960576e-02
0.735         	9.472608e-03
0.74          	4.805731e-03
0.745         	3.675802e-03
0.75          	3.199471e-03
0.755         	3.004755e-03
0.76          	3.034628e-03
0.765         	3.153018e-03
0.77          	2.906984e-03
0.775         	2.783005e-03
0.78          	2.651714e-03
0.785         	2.635721e-03
0.79          	2.819837e-03
0.795         	2.781084e-03
0.8           	2.699045e-03
0.805         	2.702277e-03
0.81          	2.653814e-03
0.815         	2.532383e-03
0.82          	2.880185e-03
0.825         	2.744086e-03
0.83          	2.491901e-03
0.835         	3.742993e-03
0.84          	3.185320e-03
0.845         	2.527461e-03
0.85          	3.006579e-03
0.855         	2.952452e-03
0.86          	2.387142e-03
0.865         	2.311826e-03
0.87          	2.287299e-03
0.875         	6.101893e-03
0.88          	3.680513e-03
0.885         	2.877607e-03
0.89          	2.738418e-03
0.895         	3.075942e-03
0.9           	3.292722e-03
0.905         	2.559784e-03
0.91          	2.402841e-03
0.915         	2.976802e-03
0.92          	2.368785e-03
0.925         	2.106827e-03
0.93          	1.983405e-03
0.935         	1.849933e-03
0.94          	1.817770e-03
0.945         	2.112922e-03
0.95          	2.124975e-03
0.955         	1.862199e-03
0.96          	1.696131e-03
0.965         	1.625041e-03
0.97          	2.009660e-03
0.975         	1.799181e-03
0.98          	1.687019e-03
0.985         	1.954581e-03
0.99          	1.603990e-03
0.995         	1.590416e-03
1             	1.588177e-03
1.005         	1.543419e-03
