# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	9.443188e-01
0.015         	3.531563e-01
0.02          	3.252410e-02
0.025         	5.638718e-02
0.03          	2.457291e-01
0.035         	1.123105e-01
0.04          	7.466717e-02
0.045         	5.968637e-02
0.05          	5.085804e-02
0.055         	4.709236e-02
0.06          	4.493475e-02
0.065         	4.289707e-02
0.07          	4.256317e-02
0.075         	4.134554e-02
0.08          	3.881906e-02
0.085         	3.603679e-02
0.09          	3.389347e-02
0.095         	3.293239e-02
0.1           	3.180736e-02
0.105         	3.123324e-02
0.11          	3.043452e-02
0.115         	2.866941e-02
0.12          	2.831639e-02
0.125         	2.728380e-02
0.13          	2.727374e-02
0.135         	2.657295e-02
0.14          	2.558207e-02
0.145         	2.526296e-02
0.15          	2.428046e-02
0.155         	2.323811e-02
0.16          	2.299255e-02
0.165         	2.274267e-02
0.17          	2.208097e-02
0.175         	2.125076e-02
0.18          	2.012459e-02
0.185         	1.980725e-02
0.19          	1.928695e-02
0.195         	1.853445e-02
0.2           	1.810989e-02
0.205         	1.747941e-02
0.21          	1.711206e-02
0.215         	1.654882e-02
0.22          	1.611136e-02
0.225         	1.596918e-02
0.23          	1.543877e-02
0.235         	1.534186e-02
0.24          	1.494961e-02
0.245         	1.487010e-02
0.25          	1.473975e-02
0.255         	1.461205e-02
0.26          	1.445294e-02
0.265         	1.435355e-02
0.27          	1.424192e-02
0.275         	1.417766e-02
0.28          	1.403977e-02
0.285         	1.396504e-02
0.29          	1.393123e-02
0.295         	1.373336e-02
0.3           	1.372392e-02
0.305         	1.356556e-02
0.31          	1.353638e-02
0.315         	1.339258e-02
0.32          	1.321680e-02
0.325         	1.313060e-02
0.33          	1.306832e-02
0.335         	1.296129e-02
0.34          	1.288918e-02
0.345         	1.280760e-02
0.35          	1.271839e-02
0.355         	1.268550e-02
0.36          	1.248457e-02
0.365         	1.231338e-02
0.37          	1.227716e-02
0.375         	1.214768e-02
0.38          	1.208086e-02
0.385         	1.189680e-02
0.39          	1.189963e-02
0.395         	1.155283e-02
0.4           	1.150784e-02
0.405         	1.110903e-02
0.41          	1.114384e-02
0.415         	1.088461e-02
0.42          	1.083829e-02
0.425         	1.058686e-02
0.43          	1.042194e-02
0.435         	1.035465e-02
0.44          	1.021923e-02
0.445         	1.007401e-02
0.45          	9.982933e-03
0.455         	9.758929e-03
0.46          	9.666726e-03
0.465         	9.344539e-03
0.47          	9.204536e-03
0.475         	9.087758e-03
0.48          	8.887286e-03
0.485         	8.797778e-03
0.49          	8.709683e-03
0.495         	8.666931e-03
0.5           	8.545934e-03
0.505         	8.280096e-03
0.51          	8.254378e-03
0.515         	8.060031e-03
0.52          	7.968871e-03
0.525         	7.865460e-03
0.53          	7.711885e-03
0.535         	7.597804e-03
0.54          	7.518172e-03
0.545         	7.377788e-03
0.55          	7.328906e-03
0.555         	7.176707e-03
0.56          	6.990039e-03
0.565         	6.949194e-03
0.57          	6.748026e-03
0.575         	6.716124e-03
0.58          	6.654986e-03
0.585         	6.543877e-03
0.59          	6.504660e-03
0.595         	6.342260e-03
0.6           	6.300858e-03
0.605         	6.130715e-03
0.61          	5.927413e-03
0.615         	5.881555e-03
0.62          	5.762715e-03
0.625         	5.677743e-03
0.63          	5.530437e-03
0.635         	5.403050e-03
0.64          	5.322507e-03
0.645         	5.235175e-03
0.65          	5.179740e-03
0.655         	5.142086e-03
0.66          	5.065897e-03
0.665         	4.968563e-03
0.67          	4.867266e-03
0.675         	4.769309e-03
0.68          	4.625186e-03
0.685         	4.581219e-03
0.69          	4.472230e-03
0.695         	4.409313e-03
0.7           	4.350058e-03
0.705         	4.261061e-03
0.71          	4.196900e-03
0.715         	4.114593e-03
0.72          	4.032790e-03
0.725         	3.940664e-03
0.73          	3.861161e-03
0.735         	3.827619e-03
0.74          	3.756304e-03
0.745         	3.674920e-03
0.75          	3.630871e-03
0.755         	3.589840e-03
0.76          	3.524431e-03
0.765         	3.441284e-03
0.77          	3.396736e-03
0.775         	3.373203e-03
0.78          	3.291975e-03
0.785         	3.269132e-03
0.79          	3.178535e-03
0.795         	3.130947e-03
0.8           	3.117720e-03
0.805         	3.091443e-03
0.81          	3.078246e-03
0.815         	3.086947e-03
0.82          	3.111961e-03
0.825         	3.107991e-03
0.83          	3.130624e-03
0.835         	3.140223e-03
0.84          	3.149428e-03
0.845         	3.177573e-03
0.85          	3.139511e-03
0.855         	3.139778e-03
0.86          	3.150030e-03
0.865         	3.143458e-03
0.87          	3.160682e-03
0.875         	3.133272e-03
0.88          	3.119886e-03
0.885         	3.139355e-03
0.89          	3.120080e-03
0.895         	3.139434e-03
0.9           	3.104754e-03
0.905         	3.088032e-03
0.91          	3.096021e-03
0.915         	3.084044e-03
0.92          	3.075964e-03
0.925         	3.031787e-03
0.93          	3.020578e-03
0.935         	3.040919e-03
0.94          	3.063495e-03
0.945         	3.035171e-03
0.95          	3.006177e-03
0.955         	2.989155e-03
0.96          	3.003131e-03
0.965         	2.990692e-03
0.97          	2.959470e-03
0.975         	2.951440e-03
0.98          	2.943545e-03
0.985         	2.937444e-03
0.99          	2.935232e-03
0.995         	2.900210e-03
1             	2.881755e-03
1.005         	2.849273e-03
