# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	3.804113e-01
0.015         	3.896640e-01
0.02          	2.789213e-01
0.025         	8.259140e-02
0.03          	4.878625e-02
0.035         	3.355200e-02
0.04          	2.458452e-02
0.045         	1.994309e-02
0.05          	1.734453e-02
0.055         	1.590986e-02
0.06          	1.519393e-02
0.065         	1.417086e-02
0.07          	1.340689e-02
0.075         	1.282045e-02
0.08          	1.205145e-02
0.085         	1.141509e-02
0.09          	1.094067e-02
0.095         	1.052827e-02
0.1           	1.014094e-02
0.105         	1.017652e-02
0.11          	1.726830e-02
0.115         	1.030285e-02
0.12          	8.866193e-03
0.125         	8.412316e-03
0.13          	8.148753e-03
0.135         	8.111268e-03
0.14          	7.583836e-03
0.145         	7.593855e-03
0.15          	8.217942e-03
0.155         	7.529805e-03
0.16          	7.885566e-03
0.165         	8.321351e-03
0.17          	8.394757e-03
0.175         	8.518552e-03
0.18          	8.180739e-03
0.185         	7.610077e-03
0.19          	8.587352e-03
0.195         	7.570525e-03
0.2           	7.136504e-03
0.205         	7.078668e-03
0.21          	6.745677e-03
0.215         	7.541825e-03
0.22          	7.132989e-03
0.225         	7.137570e-03
0.23          	6.666758e-03
0.235         	6.701154e-03
0.24          	7.071990e-03
0.245         	7.700152e-03
0.25          	1.023820e-02
0.255         	2.452651e-02
0.26          	1.109772e-02
0.265         	7.850713e-03
0.27          	1.380938e-02
0.275         	7.733638e-03
0.28          	6.670723e-03
0.285         	6.615736e-03
0.29          	6.331646e-03
0.295         	6.302638e-03
0.3           	6.296743e-03
0.305         	6.688417e-03
0.31          	6.515124e-03
0.315         	5.905590e-03
0.32          	6.099215e-03
0.325         	8.457823e-03
0.33          	6.117066e-03
0.335         	5.556559e-03
0.34          	5.458401e-03
0.345         	5.356897e-03
0.35          	5.559712e-03
0.355         	5.742680e-03
0.36          	5.233517e-03
0.365         	5.099325e-03
0.37          	5.138197e-03
0.375         	1.652623e-02
0.38          	7.479930e-03
0.385         	5.438262e-03
0.39          	4.745241e-03
0.395         	4.854883e-03
0.4           	5.344606e-03
0.405         	6.310284e-03
0.41          	5.031499e-03
0.415         	4.607740e-03
0.42          	4.430542e-03
0.425         	4.400517e-03
0.43          	4.827864e-03
0.435         	8.434183e-03
0.44          	5.007608e-03
0.445         	4.414836e-03
0.45          	4.426346e-03
0.455         	4.515472e-03
0.46          	4.731559e-03
0.465         	1.334337e-02
0.47          	6.148602e-03
0.475         	5.067969e-03
0.48          	4.918077e-03
0.485         	4.698957e-03
0.49          	4.439365e-03
0.495         	4.240879e-03
0.5           	4.431138e-03
0.505         	4.259750e-03
0.51          	4.117276e-03
0.515         	3.992863e-03
0.52          	3.982157e-03
0.525         	3.903459e-03
0.53          	3.853340e-03
0.535         	3.960278e-03
0.54          	3.869270e-03
0.545         	3.856165e-03
0.55          	3.838801e-03
0.555         	3.872541e-03
0.56          	4.453741e-03
0.565         	3.807691e-03
0.57          	3.830270e-03
0.575         	3.801840e-03
0.58          	3.796275e-03
0.585         	3.799572e-03
0.59          	3.875967e-03
0.595         	3.737097e-03
0.6           	3.763573e-03
0.605         	4.072695e-03
0.61          	3.716516e-03
0.615         	3.539630e-03
0.62          	3.701112e-03
0.625         	4.189382e-03
0.63          	3.487326e-03
0.635         	3.550305e-03
0.64          	3.794696e-03
0.645         	3.611062e-03
0.65          	3.567645e-03
0.655         	3.652587e-03
0.66          	3.532643e-03
0.665         	3.509164e-03
0.67          	3.579136e-03
0.675         	3.629992e-03
0.68          	3.472081e-03
0.685         	3.628046e-03
0.69          	3.389712e-03
0.695         	3.485213e-03
0.7           	3.581731e-03
0.705         	3.345149e-03
0.71          	3.349573e-03
0.715         	3.320438e-03
0.72          	3.366175e-03
0.725         	3.267228e-03
0.73          	3.322213e-03
0.735         	3.276695e-03
0.74          	3.277384e-03
0.745         	3.224464e-03
0.75          	3.161514e-03
0.755         	3.391518e-03
0.76          	3.595132e-03
0.765         	3.462900e-03
0.77          	2.835075e-03
0.775         	2.917037e-03
0.78          	3.307951e-03
0.785         	2.829056e-03
0.79          	2.862345e-03
0.795         	3.252029e-03
0.8           	2.858131e-03
0.805         	2.726729e-03
0.81          	2.948202e-03
0.815         	4.511560e-03
0.82          	3.721426e-03
0.825         	2.840649e-03
0.83          	2.900535e-03
0.835         	3.161791e-03
0.84          	2.623713e-03
0.845         	2.813367e-03
0.85          	3.662354e-03
0.855         	2.835886e-03
0.86          	2.931795e-03
0.865         	2.672849e-03
0.87          	2.673686e-03
0.875         	2.776377e-03
0.88          	2.815331e-03
0.885         	2.662059e-03
0.89          	2.681926e-03
0.895         	2.613738e-03
0.9           	2.717158e-03
0.905         	2.701540e-03
0.91          	3.738923e-03
0.915         	3.614942e-03
0.92          	3.062528e-03
0.925         	2.641501e-03
0.93          	3.798380e-03
0.935         	2.696321e-03
0.94          	2.496955e-03
0.945         	2.457005e-03
0.95          	2.548650e-03
0.955         	2.566496e-03
0.96          	2.388464e-03
0.965         	2.352262e-03
0.97          	2.433226e-03
0.975         	2.390759e-03
0.98          	2.302857e-03
0.985         	2.287483e-03
0.99          	2.354949e-03
0.995         	2.338285e-03
1             	2.443866e-03
1.005         	2.308000e-03
