# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	7.923177e-02
0.015         	1.208319e-01
0.02          	2.102747e-01
0.025         	7.650925e-02
0.03          	5.217561e-02
0.035         	3.675167e-02
0.04          	2.665025e-02
0.045         	2.178786e-02
0.05          	2.041941e-02
0.055         	1.951430e-02
0.06          	1.820418e-02
0.065         	1.620675e-02
0.07          	1.467110e-02
0.075         	1.360233e-02
0.08          	1.283124e-02
0.085         	1.244515e-02
0.09          	1.184084e-02
0.095         	1.174080e-02
0.1           	1.167286e-02
0.105         	1.115427e-02
0.11          	1.061619e-02
0.115         	1.050648e-02
0.12          	1.072113e-02
0.125         	1.073606e-02
0.13          	1.044265e-02
0.135         	1.059400e-02
0.14          	1.047205e-02
0.145         	1.026361e-02
0.15          	9.933492e-03
0.155         	9.809914e-03
0.16          	9.660028e-03
0.165         	9.654312e-03
0.17          	9.788179e-03
0.175         	9.796647e-03
0.18          	1.004812e-02
0.185         	1.015821e-02
0.19          	9.959627e-03
0.195         	9.764292e-03
0.2           	1.018518e-02
0.205         	9.735776e-03
0.21          	9.519226e-03
0.215         	9.504762e-03
0.22          	9.363875e-03
0.225         	9.124857e-03
0.23          	8.920374e-03
0.235         	8.736603e-03
0.24          	8.668760e-03
0.245         	8.368848e-03
0.25          	8.308079e-03
0.255         	8.359550e-03
0.26          	8.283421e-03
0.265         	8.215322e-03
0.27          	8.172228e-03
0.275         	8.202399e-03
0.28          	8.189773e-03
0.285         	8.290488e-03
0.29          	8.379746e-03
0.295         	8.274923e-03
0.3           	8.815127e-03
0.305         	8.327865e-03
0.31          	8.174959e-03
0.315         	8.230050e-03
0.32          	8.211284e-03
0.325         	8.090030e-03
0.33          	7.807728e-03
0.335         	7.891483e-03
0.34          	7.890157e-03
0.345         	7.997534e-03
0.35          	7.954442e-03
0.355         	7.746947e-03
0.36          	7.581102e-03
0.365         	7.603088e-03
0.37          	7.628420e-03
0.375         	7.659075e-03
0.38          	7.608015e-03
0.385         	7.354988e-03
0.39          	7.317894e-03
0.395         	7.208541e-03
0.4           	7.246533e-03
0.405         	7.346219e-03
0.41          	7.193682e-03
0.415         	6.907266e-03
0.42          	6.786266e-03
0.425         	6.743154e-03
0.43          	6.827216e-03
0.435         	6.908799e-03
0.44          	6.574528e-03
0.445         	6.452283e-03
0.45          	6.349711e-03
0.455         	6.336191e-03
0.46          	6.328934e-03
0.465         	6.227650e-03
0.47          	6.096612e-03
0.475         	6.036356e-03
0.48          	5.869939e-03
0.485         	5.844420e-03
0.49          	5.719447e-03
0.495         	5.809131e-03
0.5           	5.573352e-03
0.505         	5.511272e-03
0.51          	5.393482e-03
0.515         	5.413497e-03
0.52          	5.326604e-03
0.525         	5.220949e-03
0.53          	5.171822e-03
0.535         	5.112593e-03
0.54          	5.035613e-03
0.545         	5.094745e-03
0.55          	5.048428e-03
0.555         	4.985383e-03
0.56          	4.830200e-03
0.565         	4.761564e-03
0.57          	4.725968e-03
0.575         	4.713553e-03
0.58          	4.633045e-03
0.585         	4.601355e-03
0.59          	4.481094e-03
0.595         	4.437032e-03
0.6           	4.357479e-03
0.605         	4.297732e-03
0.61          	4.265964e-03
0.615         	4.241251e-03
0.62          	4.134460e-03
0.625         	4.100819e-03
0.63          	4.026967e-03
0.635         	3.964243e-03
0.64          	3.987199e-03
0.645         	3.930035e-03
0.65          	3.932347e-03
0.655         	3.887296e-03
0.66          	3.829061e-03
0.665         	3.775355e-03
0.67          	3.773271e-03
0.675         	3.729859e-03
0.68          	3.659921e-03
0.685         	3.555169e-03
0.69          	3.515927e-03
0.695         	3.475932e-03
0.7           	3.438129e-03
0.705         	3.399010e-03
0.71          	3.403635e-03
0.715         	3.277698e-03
0.72          	3.222370e-03
0.725         	3.199757e-03
0.73          	3.138222e-03
0.735         	3.101748e-03
0.74          	3.060588e-03
0.745         	3.041446e-03
0.75          	2.998040e-03
0.755         	2.959370e-03
0.76          	2.954242e-03
0.765         	2.891240e-03
0.77          	2.842255e-03
0.775         	2.812161e-03
0.78          	2.831273e-03
0.785         	2.831645e-03
0.79          	2.783631e-03
0.795         	2.732340e-03
0.8           	2.674677e-03
0.805         	2.651342e-03
0.81          	2.618745e-03
0.815         	2.563798e-03
0.82          	2.500672e-03
0.825         	2.539687e-03
0.83          	2.516764e-03
0.835         	2.465798e-03
0.84          	2.495654e-03
0.845         	2.438482e-03
0.85          	2.365595e-03
0.855         	2.329075e-03
0.86          	2.315501e-03
0.865         	2.339564e-03
0.87          	2.343731e-03
0.875         	2.268827e-03
0.88          	2.272890e-03
0.885         	2.243311e-03
0.89          	2.194750e-03
0.895         	2.176946e-03
0.9           	2.180217e-03
0.905         	2.173299e-03
0.91          	2.129805e-03
0.915         	2.116545e-03
0.92          	2.066481e-03
0.925         	2.049229e-03
0.93          	2.022326e-03
0.935         	2.040717e-03
0.94          	2.049163e-03
0.945         	2.027670e-03
0.95          	1.979842e-03
0.955         	1.940497e-03
0.96          	1.917276e-03
0.965         	1.913195e-03
0.97          	1.895955e-03
0.975         	1.940444e-03
0.98          	1.905618e-03
0.985         	1.904386e-03
0.99          	1.847917e-03
0.995         	1.832750e-03
1             	1.809152e-03
1.005         	1.764852e-03
