# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	6.293007e-04
0.1           	1.129301e-03
0.15          	1.629301e-03
0.2           	2.129301e-03
0.25          	2.629301e-03
0.3           	3.129301e-03
0.35          	3.629301e-03
0.4           	4.129301e-03
0.45          	4.629301e-03
0.5           	5.129301e-03
0.55          	5.629301e-03
0.6           	6.129301e-03
0.65          	6.629301e-03
0.7           	7.129302e-03
0.75          	7.629302e-03
0.8           	8.129302e-03
0.85          	8.629307e-03
0.9           	9.129307e-03
0.95          	9.629307e-03
1             	1.012931e-02
1.05          	1.062931e-02
1.1           	1.112931e-02
1.15          	1.162931e-02
1.2           	1.212931e-02
1.25          	1.262931e-02
1.3           	1.312931e-02
1.35          	1.362931e-02
1.4           	1.412931e-02
1.45          	1.462931e-02
1.5           	1.512931e-02
1.55          	1.562931e-02
1.6           	1.612931e-02
1.65          	1.662934e-02
1.7           	1.712941e-02
1.75          	1.762942e-02
1.8           	1.812942e-02
1.85          	1.862947e-02
1.9           	1.912960e-02
1.95          	1.962971e-02
2             	2.012973e-02
2.05          	2.062975e-02
2.1           	2.112975e-02
2.15          	2.162975e-02
2.2           	2.212977e-02
2.25          	2.262980e-02
2.3           	2.312980e-02
2.35          	2.362982e-02
2.4           	2.412984e-02
2.45          	2.462984e-02
2.5           	2.512985e-02
2.55          	2.562988e-02
2.6           	2.612990e-02
2.65          	2.662992e-02
2.7           	2.712992e-02
2.75          	2.762994e-02
2.8           	2.812994e-02
2.85          	2.862996e-02
2.9           	2.912998e-02
2.95          	2.962998e-02
3             	3.013000e-02
3.05          	3.063002e-02
3.1           	3.113003e-02
3.15          	3.163006e-02
3.2           	3.213009e-02
3.25          	3.263010e-02
3.3           	3.313010e-02
3.35          	3.363010e-02
3.4           	3.413012e-02
3.45          	3.463013e-02
3.5           	3.513013e-02
3.55          	3.563017e-02
3.6           	3.613016e-02
3.65          	3.662997e-02
3.7           	3.712908e-02
3.75          	3.762611e-02
3.8           	3.811867e-02
3.85          	3.860280e-02
3.9           	3.907281e-02
3.95          	3.952163e-02
4             	3.994130e-02
4.05          	4.032238e-02
4.1           	4.065427e-02
4.15          	4.092755e-02
4.2           	4.114005e-02
4.25          	4.129870e-02
4.3           	4.141604e-02
4.35          	4.150696e-02
4.4           	4.158424e-02
4.45          	4.165384e-02
4.5           	4.171705e-02
4.55          	4.177336e-02
4.6           	4.182118e-02
4.65          	4.185622e-02
4.7           	4.187096e-02
4.75          	4.185780e-02
4.8           	4.181744e-02
4.85          	4.176436e-02
4.9           	4.172587e-02
4.95          	4.171315e-02
5             	4.171889e-02
5.05          	4.173144e-02
5.1           	4.174511e-02
5.15          	4.175696e-02
5.2           	4.176614e-02
5.25          	4.177394e-02
5.3           	4.178544e-02
5.35          	4.180131e-02
5.4           	4.181804e-02
5.45          	4.183306e-02
5.5           	4.184509e-02
5.55          	4.185434e-02
5.6           	4.186225e-02
5.65          	4.186980e-02
5.7           	4.187854e-02
5.75          	4.188875e-02
5.8           	4.189894e-02
5.85          	4.190882e-02
5.9           	4.192166e-02
5.95          	4.193976e-02
6             	4.196110e-02
6.05          	4.198349e-02
6.1           	4.200597e-02
6.15          	4.202789e-02
6.2           	4.204893e-02
6.25          	4.206883e-02
6.3           	4.208707e-02
6.35          	4.210243e-02
6.4           	4.211453e-02
6.45          	4.212238e-02
6.5           	4.212492e-02
6.55          	4.212181e-02
6.6           	4.211262e-02
6.65          	4.209743e-02
6.7           	4.207687e-02
6.75          	4.205189e-02
6.8           	4.202346e-02
6.85          	4.199246e-02
6.9           	4.195945e-02
6.95          	4.192475e-02
7             	4.188788e-02
7.05          	4.184742e-02
7.1           	4.180180e-02
7.15          	4.175008e-02
7.2           	4.169196e-02
7.25          	4.162770e-02
7.3           	4.155768e-02
7.35          	4.148202e-02
7.4           	4.140047e-02
7.45          	4.131315e-02
7.5           	4.122147e-02
7.55          	4.112952e-02
7.6           	4.104434e-02
7.65          	4.097558e-02
7.7           	4.093081e-02
7.75          	4.091020e-02
7.8           	4.090860e-02
7.85          	4.091992e-02
7.9           	4.093921e-02
7.95          	4.096279e-02
8             	4.098809e-02
8.05          	4.101335e-02
8.1           	4.103770e-02
8.15          	4.106101e-02
8.2           	4.108313e-02
8.25          	4.110334e-02
8.3           	4.112066e-02
8.35          	4.113449e-02
8.4           	4.114424e-02
8.45          	4.114933e-02
8.5           	4.114925e-02
8.55          	4.114384e-02
8.6           	4.113346e-02
8.65          	4.111914e-02
8.7           	4.110227e-02
8.75          	4.108458e-02
8.8           	4.106763e-02
8.85          	4.105216e-02
8.9           	4.103801e-02
8.95          	4.102424e-02
9             	4.101000e-02
9.05          	4.099452e-02
9.1           	4.097696e-02
9.15          	4.095691e-02
9.2           	4.093425e-02
9.25          	4.090818e-02
9.3           	4.087772e-02
9.35          	4.084315e-02
9.4           	4.080610e-02
9.45          	4.076882e-02
9.5           	4.073343e-02
9.55          	4.070260e-02
9.6           	4.067861e-02
9.65          	4.066244e-02
9.7           	4.065388e-02
9.75          	4.065245e-02
9.8           	4.065797e-02
9.85          	4.066967e-02
9.9           	4.068595e-02
9.95          	4.070500e-02
10            	4.072542e-02
10.05         	4.074676e-02
10.1          	4.076883e-02
10.15         	4.079135e-02
10.2          	4.081435e-02
10.25         	4.083753e-02
10.3          	4.086056e-02
10.35         	4.088309e-02
10.4          	4.090495e-02
10.45         	4.092592e-02
10.5          	4.094599e-02
10.55         	4.096524e-02
10.6          	4.098381e-02
10.65         	4.100184e-02
10.7          	4.101934e-02
10.75         	4.103624e-02
10.8          	4.105241e-02
10.85         	4.106752e-02
10.9          	4.108103e-02
10.95         	4.109237e-02
11            	4.110103e-02
11.05         	4.110654e-02
11.1          	4.110860e-02
11.15         	4.110697e-02
11.2          	4.110157e-02
11.25         	4.109235e-02
11.3          	4.107913e-02
11.35         	4.106214e-02
11.4          	4.104179e-02
11.45         	4.101846e-02
11.5          	4.099255e-02
11.55         	4.096459e-02
11.6          	4.093525e-02
11.65         	4.090546e-02
11.7          	4.087666e-02
11.75         	4.085036e-02
11.8          	4.082838e-02
11.85         	4.081219e-02
11.9          	4.080265e-02
11.95         	4.079988e-02
