# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	5.243093e-04
0.1           	1.024309e-03
0.15          	1.524309e-03
0.2           	2.024318e-03
0.25          	2.524318e-03
0.3           	3.024323e-03
0.35          	3.524323e-03
0.4           	4.024323e-03
0.45          	4.524323e-03
0.5           	5.024323e-03
0.55          	5.524323e-03
0.6           	6.024323e-03
0.65          	6.524326e-03
0.7           	7.024328e-03
0.75          	7.524328e-03
0.8           	8.024328e-03
0.85          	8.524330e-03
0.9           	9.024334e-03
0.95          	9.524337e-03
1             	1.002434e-02
1.05          	1.052434e-02
1.1           	1.102434e-02
1.15          	1.152434e-02
1.2           	1.202434e-02
1.25          	1.252434e-02
1.3           	1.302435e-02
1.35          	1.352435e-02
1.4           	1.402435e-02
1.45          	1.452436e-02
1.5           	1.502436e-02
1.55          	1.552437e-02
1.6           	1.602437e-02
1.65          	1.652437e-02
1.7           	1.702437e-02
1.75          	1.752437e-02
1.8           	1.802437e-02
1.85          	1.852437e-02
1.9           	1.902437e-02
1.95          	1.952438e-02
2             	2.002438e-02
2.05          	2.052439e-02
2.1           	2.102439e-02
2.15          	2.152439e-02
2.2           	2.202440e-02
2.25          	2.252440e-02
2.3           	2.302440e-02
2.35          	2.352440e-02
2.4           	2.402441e-02
2.45          	2.452441e-02
2.5           	2.502441e-02
2.55          	2.552441e-02
2.6           	2.602441e-02
2.65          	2.652441e-02
2.7           	2.702444e-02
2.75          	2.752446e-02
2.8           	2.802450e-02
2.85          	2.852451e-02
2.9           	2.902451e-02
2.95          	2.952451e-02
3             	3.002451e-02
3.05          	3.052451e-02
3.1           	3.102451e-02
3.15          	3.152453e-02
3.2           	3.202453e-02
3.25          	3.252453e-02
3.3           	3.302453e-02
3.35          	3.352453e-02
3.4           	3.402453e-02
3.45          	3.452453e-02
3.5           	3.502453e-02
3.55          	3.552453e-02
3.6           	3.602453e-02
3.65          	3.652453e-02
3.7           	3.702453e-02
3.75          	3.752453e-02
3.8           	3.802449e-02
3.85          	3.852387e-02
3.9           	3.902027e-02
3.95          	3.950839e-02
4             	3.998054e-02
4.05          	4.042787e-02
4.1           	4.084162e-02
4.15          	4.121317e-02
4.2           	4.153550e-02
4.25          	4.180156e-02
4.3           	4.200357e-02
4.35          	4.213682e-02
4.4           	4.220655e-02
4.45          	4.222846e-02
4.5           	4.223020e-02
4.55          	4.223488e-02
4.6           	4.224887e-02
4.65          	4.226689e-02
4.7           	4.228141e-02
4.75          	4.228441e-02
4.8           	4.226542e-02
4.85          	4.221549e-02
4.9           	4.213628e-02
4.95          	4.206012e-02
5             	4.201928e-02
5.05          	4.200640e-02
5.1           	4.200521e-02
5.15          	4.200522e-02
5.2           	4.199948e-02
5.25          	4.198298e-02
5.3           	4.195561e-02
5.35          	4.192548e-02
5.4           	4.190286e-02
5.45          	4.188031e-02
5.5           	4.184694e-02
5.55          	4.179932e-02
5.6           	4.174061e-02
5.65          	4.167528e-02
5.7           	4.161247e-02
5.75          	4.156272e-02
5.8           	4.152826e-02
5.85          	4.150211e-02
5.9           	4.148008e-02
5.95          	4.146161e-02
6             	4.144636e-02
6.05          	4.143351e-02
6.1           	4.142121e-02
6.15          	4.140701e-02
6.2           	4.139023e-02
6.25          	4.137148e-02
6.3           	4.135104e-02
6.35          	4.132912e-02
6.4           	4.130675e-02
6.45          	4.128487e-02
6.5           	4.126345e-02
6.55          	4.124208e-02
6.6           	4.122019e-02
6.65          	4.119689e-02
6.7           	4.117165e-02
6.75          	4.114399e-02
6.8           	4.111361e-02
6.85          	4.108062e-02
6.9           	4.104565e-02
6.95          	4.100977e-02
7             	4.097431e-02
7.05          	4.094035e-02
7.1           	4.090834e-02
7.15          	4.087863e-02
7.2           	4.085168e-02
7.25          	4.082828e-02
7.3           	4.080952e-02
7.35          	4.079691e-02
7.4           	4.079141e-02
7.45          	4.079315e-02
7.5           	4.080190e-02
7.55          	4.081753e-02
7.6           	4.083945e-02
7.65          	4.086669e-02
7.7           	4.089821e-02
7.75          	4.093290e-02
7.8           	4.096949e-02
7.85          	4.100675e-02
7.9           	4.104340e-02
7.95          	4.107815e-02
8             	4.110990e-02
8.05          	4.113749e-02
8.1           	4.115963e-02
8.15          	4.117491e-02
8.2           	4.118244e-02
8.25          	4.118184e-02
8.3           	4.117286e-02
8.35          	4.115531e-02
8.4           	4.112926e-02
8.45          	4.109549e-02
8.5           	4.105549e-02
8.55          	4.101126e-02
8.6           	4.096488e-02
8.65          	4.091797e-02
8.7           	4.087193e-02
8.75          	4.082846e-02
8.8           	4.079045e-02
8.85          	4.076110e-02
8.9           	4.074063e-02
8.95          	4.072755e-02
9             	4.072037e-02
9.05          	4.071752e-02
9.1           	4.071729e-02
9.15          	4.071845e-02
9.2           	4.072008e-02
9.25          	4.072103e-02
9.3           	4.072037e-02
9.35          	4.071719e-02
9.4           	4.071087e-02
9.45          	4.070157e-02
9.5           	4.069020e-02
9.55          	4.067869e-02
9.6           	4.066979e-02
9.65          	4.066603e-02
9.7           	4.066848e-02
9.75          	4.067598e-02
9.8           	4.068695e-02
9.85          	4.070005e-02
9.9           	4.071356e-02
9.95          	4.072586e-02
10            	4.073561e-02
10.05         	4.074095e-02
10.1          	4.073944e-02
10.15         	4.072911e-02
10.2          	4.070919e-02
10.25         	4.068164e-02
10.3          	4.065143e-02
10.35         	4.062356e-02
10.4          	4.060079e-02
10.45         	4.058460e-02
10.5          	4.057523e-02
10.55         	4.057087e-02
10.6          	4.056950e-02
10.65         	4.056985e-02
10.7          	4.057175e-02
10.75         	4.057503e-02
10.8          	4.057964e-02
10.85         	4.058545e-02
10.9          	4.059214e-02
10.95         	4.059911e-02
11            	4.060558e-02
11.05         	4.061055e-02
11.1          	4.061263e-02
11.15         	4.060989e-02
11.2          	4.060042e-02
11.25         	4.058387e-02
11.3          	4.056230e-02
11.35         	4.053979e-02
11.4          	4.052053e-02
11.45         	4.050701e-02
11.5          	4.050006e-02
11.55         	4.049996e-02
11.6          	4.050484e-02
11.65         	4.051253e-02
11.7          	4.052159e-02
11.75         	4.052976e-02
11.8          	4.053492e-02
11.85         	4.053490e-02
11.9          	4.052930e-02
11.95         	4.051881e-02
12            	4.050396e-02
12.05         	4.048433e-02
12.1          	4.045946e-02
12.15         	4.042862e-02
12.2          	4.039191e-02
12.25         	4.035040e-02
12.3          	4.030556e-02
12.35         	4.025899e-02
12.4          	4.021236e-02
12.45         	4.016747e-02
12.5          	4.012659e-02
12.55         	4.009229e-02
12.6          	4.006636e-02
12.65         	4.005013e-02
12.7          	4.004352e-02
12.75         	4.004472e-02
12.8          	4.005100e-02
12.85         	4.005997e-02
12.9          	4.006956e-02
12.95         	4.007799e-02
13            	4.008356e-02
13.05         	4.008472e-02
13.1          	4.008018e-02
13.15         	4.006924e-02
13.2          	4.005158e-02
13.25         	4.002705e-02
13.3          	3.999569e-02
13.35         	3.995840e-02
13.4          	3.991773e-02
13.45         	3.987725e-02
13.5          	3.984146e-02
13.55         	3.981498e-02
13.6          	3.980155e-02
13.65         	3.980337e-02
13.7          	3.981893e-02
13.75         	3.984582e-02
13.8          	3.988171e-02
13.85         	3.992488e-02
13.9          	3.997408e-02
13.95         	4.002824e-02
14            	4.008677e-02
14.05         	4.014927e-02
14.1          	4.021531e-02
14.15         	4.028423e-02
14.2          	4.035511e-02
14.25         	4.042616e-02
14.3          	4.049507e-02
14.35         	4.055955e-02
14.4          	4.061758e-02
14.45         	4.066736e-02
14.5          	4.070702e-02
14.55         	4.073480e-02
14.6          	4.074904e-02
14.65         	4.074908e-02
14.7          	4.073823e-02
14.75         	4.072359e-02
14.8          	4.070918e-02
14.85         	4.069380e-02
14.9          	4.067567e-02
14.95         	4.065331e-02
15            	4.062553e-02
15.05         	4.059124e-02
15.1          	4.054808e-02
15.15         	4.049329e-02
15.2          	4.042679e-02
15.25         	4.035291e-02
15.3          	4.027904e-02
15.35         	4.021218e-02
15.4          	4.015469e-02
15.45         	4.010482e-02
15.5          	4.005966e-02
15.55         	4.001628e-02
15.6          	3.997315e-02
15.65         	3.993124e-02
15.7          	3.989365e-02
15.75         	3.986361e-02
15.8          	3.984308e-02
15.85         	3.983226e-02
15.9          	3.982855e-02
15.95         	3.982855e-02
16            	3.982988e-02
16.05         	3.983127e-02
16.1          	3.983283e-02
16.15         	3.983449e-02
16.2          	3.983531e-02
16.25         	3.983554e-02
16.3          	3.983697e-02
16.35         	3.984176e-02
16.4          	3.985116e-02
16.45         	3.986599e-02
16.5          	3.988694e-02
16.55         	3.991479e-02
16.6          	3.994954e-02
16.65         	3.999060e-02
16.7          	4.003721e-02
16.75         	4.008869e-02
16.8          	4.014453e-02
16.85         	4.020491e-02
16.9          	4.027024e-02
16.95         	4.033999e-02
17            	4.041296e-02
17.05         	4.048785e-02
17.1          	4.056344e-02
17.15         	4.063836e-02
17.2          	4.071118e-02
17.25         	4.078089e-02
17.3          	4.084680e-02
17.35         	4.090831e-02
17.4          	4.096491e-02
17.45         	4.101642e-02
17.5          	4.106372e-02
17.55         	4.110785e-02
17.6          	4.114873e-02
17.65         	4.118530e-02
17.7          	4.121531e-02
17.75         	4.123675e-02
17.8          	4.124910e-02
17.85         	4.125272e-02
17.9          	4.124809e-02
17.95         	4.123515e-02
18            	4.121470e-02
18.05         	4.118869e-02
18.1          	4.115872e-02
18.15         	4.112699e-02
18.2          	4.109501e-02
18.25         	4.106242e-02
18.3          	4.102843e-02
18.35         	4.099241e-02
18.4          	4.095371e-02
18.45         	4.091226e-02
18.5          	4.086858e-02
18.55         	4.082358e-02
18.6          	4.077849e-02
18.65         	4.073457e-02
18.7          	4.069295e-02
18.75         	4.065479e-02
18.8          	4.062118e-02
18.85         	4.059299e-02
18.9          	4.057168e-02
18.95         	4.055795e-02
19            	4.055179e-02
19.05         	4.055253e-02
19.1          	4.055870e-02
19.15         	4.056843e-02
19.2          	4.057991e-02
19.25         	4.059219e-02
19.3          	4.060524e-02
19.35         	4.061955e-02
19.4          	4.063562e-02
19.45         	4.065334e-02
19.5          	4.067195e-02
19.55         	4.069070e-02
19.6          	4.070916e-02
19.65         	4.072750e-02
19.7          	4.074572e-02
19.75         	4.076348e-02
19.8          	4.077969e-02
19.85         	4.079243e-02
19.9          	4.079977e-02
19.95         	4.080014e-02
20            	4.079262e-02
20.05         	4.077698e-02
20.1          	4.075371e-02
20.15         	4.072410e-02
20.2          	4.069011e-02
20.25         	4.065420e-02
20.3          	4.061730e-02
20.35         	4.057924e-02
20.4          	4.054048e-02
20.45         	4.050228e-02
20.5          	4.046674e-02
20.55         	4.043714e-02
20.6          	4.041759e-02
20.65         	4.041124e-02
20.7          	4.041802e-02
20.75         	4.043619e-02
20.8          	4.046361e-02
20.85         	4.049821e-02
20.9          	4.053734e-02
20.95         	4.057652e-02
21            	4.061120e-02
21.05         	4.063881e-02
21.1          	4.065835e-02
21.15         	4.066937e-02
21.2          	4.067188e-02
21.25         	4.066644e-02
21.3          	4.065430e-02
21.35         	4.063578e-02
21.4          	4.060966e-02
21.45         	4.057457e-02
21.5          	4.052936e-02
21.55         	4.047398e-02
21.6          	4.041052e-02
21.65         	4.034332e-02
21.7          	4.027809e-02
21.75         	4.022300e-02
21.8          	4.018548e-02
21.85         	4.016328e-02
21.9          	4.015048e-02
21.95         	4.014248e-02
22            	4.013691e-02
22.05         	4.013292e-02
22.1          	4.013055e-02
22.15         	4.012908e-02
22.2          	4.012616e-02
22.25         	4.011988e-02
22.3          	4.011036e-02
22.35         	4.010038e-02
22.4          	4.009315e-02
22.45         	4.009051e-02
22.5          	4.009374e-02
22.55         	4.010339e-02
22.6          	4.011965e-02
22.65         	4.014248e-02
22.7          	4.017114e-02
22.75         	4.020419e-02
22.8          	4.024035e-02
22.85         	4.027899e-02
22.9          	4.031955e-02
22.95         	4.036120e-02
23            	4.040344e-02
23.05         	4.044558e-02
23.1          	4.048625e-02
23.15         	4.052347e-02
23.2          	4.055508e-02
23.25         	4.057930e-02
23.3          	4.059527e-02
23.35         	4.060324e-02
23.4          	4.060397e-02
23.45         	4.059786e-02
23.5          	4.058524e-02
23.55         	4.056673e-02
23.6          	4.054364e-02
23.65         	4.051711e-02
23.7          	4.048828e-02
23.75         	4.045776e-02
23.8          	4.042536e-02
23.85         	4.039066e-02
23.9          	4.035345e-02
23.95         	4.031362e-02
24            	4.027187e-02
24.05         	4.023173e-02
24.1          	4.019915e-02
24.15         	4.017554e-02
24.2          	4.015984e-02
24.25         	4.014901e-02
24.3          	4.014002e-02
24.35         	4.013011e-02
24.4          	4.011765e-02
24.45         	4.010273e-02
24.5          	4.008675e-02
24.55         	4.007133e-02
24.6          	4.005799e-02
24.65         	4.004797e-02
24.7          	4.004217e-02
24.75         	4.004232e-02
24.8          	4.004949e-02
24.85         	4.006258e-02
24.9          	4.007872e-02
24.95         	4.009553e-02
25            	4.011171e-02
25.05         	4.012706e-02
25.1          	4.014209e-02
25.15         	4.015713e-02
25.2          	4.017124e-02
25.25         	4.018260e-02
25.3          	4.018903e-02
25.35         	4.018843e-02
25.4          	4.017879e-02
25.45         	4.015940e-02
25.5          	4.013099e-02
25.55         	4.009378e-02
25.6          	4.004761e-02
25.65         	3.999204e-02
25.7          	3.992950e-02
25.75         	3.986682e-02
25.8          	3.981343e-02
25.85         	3.977774e-02
25.9          	3.976182e-02
25.95         	3.976346e-02
26            	3.977908e-02
26.05         	3.980447e-02
26.1          	3.983656e-02
26.15         	3.987359e-02
26.2          	3.991483e-02
26.25         	3.996006e-02
26.3          	4.000890e-02
26.35         	4.006080e-02
26.4          	4.011509e-02
26.45         	4.017095e-02
26.5          	4.022738e-02
26.55         	4.028323e-02
26.6          	4.033777e-02
26.65         	4.039007e-02
26.7          	4.043827e-02
26.75         	4.048031e-02
26.8          	4.051404e-02
26.85         	4.053788e-02
26.9          	4.055231e-02
26.95         	4.056178e-02
27            	4.057210e-02
27.05         	4.058711e-02
27.1          	4.060662e-02
27.15         	4.062733e-02
27.2          	4.064555e-02
27.25         	4.065950e-02
27.3          	4.066934e-02
27.35         	4.067597e-02
27.4          	4.067957e-02
27.45         	4.068013e-02
27.5          	4.067728e-02
27.55         	4.066995e-02
27.6          	4.065662e-02
27.65         	4.063557e-02
27.7          	4.060556e-02
27.75         	4.056551e-02
27.8          	4.051474e-02
27.85         	4.045282e-02
27.9          	4.038103e-02
27.95         	4.030562e-02
28            	4.023753e-02
28.05         	4.018242e-02
28.1          	4.013739e-02
28.15         	4.009870e-02
28.2          	4.006358e-02
28.25         	4.002887e-02
28.3          	3.999097e-02
28.35         	3.994853e-02
28.4          	3.990193e-02
28.45         	3.985172e-02
28.5          	3.979952e-02
28.55         	3.974857e-02
28.6          	3.970424e-02
28.65         	3.967231e-02
28.7          	3.965388e-02
28.75         	3.964602e-02
28.8          	3.964489e-02
28.85         	3.964777e-02
28.9          	3.965287e-02
28.95         	3.965974e-02
29            	3.966871e-02
29.05         	3.967961e-02
29.1          	3.969203e-02
29.15         	3.970560e-02
29.2          	3.972051e-02
29.25         	3.973732e-02
29.3          	3.975657e-02
29.35         	3.977862e-02
29.4          	3.980366e-02
29.45         	3.983082e-02
29.5          	3.985839e-02
29.55         	3.988405e-02
29.6          	3.990493e-02
29.65         	3.991796e-02
29.7          	3.992116e-02
29.75         	3.991510e-02
29.8          	3.990339e-02
29.85         	3.989300e-02
29.9          	3.989221e-02
29.95         	3.990361e-02
30            	3.992302e-02
30.05         	3.994391e-02
30.1          	3.996061e-02
30.15         	3.996893e-02
30.2          	3.996576e-02
30.25         	3.994933e-02
30.3          	3.991885e-02
30.35         	3.987343e-02
30.4          	3.981218e-02
30.45         	3.973539e-02
30.5          	3.964731e-02
30.55         	3.955844e-02
30.6          	3.948139e-02
30.65         	3.942223e-02
30.7          	3.938379e-02
30.75         	3.936275e-02
30.8          	3.935169e-02
30.85         	3.934641e-02
30.9          	3.934717e-02
30.95         	3.935495e-02
31            	3.936732e-02
31.05         	3.938200e-02
31.1          	3.939744e-02
31.15         	3.941277e-02
31.2          	3.942734e-02
31.25         	3.944138e-02
31.3          	3.945595e-02
31.35         	3.947252e-02
31.4          	3.949280e-02
31.45         	3.951865e-02
31.5          	3.955022e-02
31.55         	3.958586e-02
31.6          	3.962342e-02
31.65         	3.966085e-02
31.7          	3.969658e-02
31.75         	3.972944e-02
31.8          	3.975940e-02
31.85         	3.978678e-02
31.9          	3.981269e-02
31.95         	3.983835e-02
32            	3.986433e-02
32.05         	3.989085e-02
32.1          	3.991783e-02
32.15         	3.994475e-02
32.2          	3.997058e-02
32.25         	3.999449e-02
32.3          	4.001540e-02
32.35         	4.003186e-02
32.4          	4.004200e-02
32.45         	4.004405e-02
32.5          	4.003720e-02
32.55         	4.002255e-02
32.6          	4.000327e-02
32.65         	3.998423e-02
32.7          	3.996831e-02
32.75         	3.995508e-02
32.8          	3.994341e-02
32.85         	3.993365e-02
32.9          	3.992541e-02
32.95         	3.991632e-02
33            	3.990378e-02
33.05         	3.988680e-02
33.1          	3.986516e-02
33.15         	3.983821e-02
33.2          	3.980505e-02
33.25         	3.976585e-02
33.3          	3.972291e-02
33.35         	3.968072e-02
33.4          	3.964462e-02
33.45         	3.961826e-02
33.5          	3.960251e-02
33.55         	3.959646e-02
33.6          	3.959800e-02
33.65         	3.960458e-02
33.7          	3.961466e-02
33.75         	3.962698e-02
33.8          	3.964030e-02
33.85         	3.965348e-02
33.9          	3.966582e-02
33.95         	3.967647e-02
34            	3.968456e-02
34.05         	3.968927e-02
34.1          	3.969073e-02
34.15         	3.968936e-02
34.2          	3.968644e-02
34.25         	3.968379e-02
34.3          	3.968342e-02
34.35         	3.968697e-02
34.4          	3.969446e-02
34.45         	3.970369e-02
34.5          	3.971074e-02
34.55         	3.971026e-02
34.6          	3.969609e-02
34.65         	3.966571e-02
34.7          	3.962401e-02
34.75         	3.958509e-02
34.8          	3.956585e-02
34.85         	3.957144e-02
34.9          	3.959702e-02
