# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	2.754190e-01
0.015         	2.629797e-01
0.02          	2.316212e-01
0.025         	8.308666e-02
0.03          	5.388643e-02
0.035         	3.699209e-02
0.04          	2.665822e-02
0.045         	2.145725e-02
0.05          	2.052910e-02
0.055         	1.971753e-02
0.06          	1.836569e-02
0.065         	1.628775e-02
0.07          	1.485123e-02
0.075         	1.373087e-02
0.08          	1.343376e-02
0.085         	1.209668e-02
0.09          	1.164047e-02
0.095         	1.155760e-02
0.1           	1.136166e-02
0.105         	1.092462e-02
0.11          	1.039320e-02
0.115         	1.033469e-02
0.12          	1.049791e-02
0.125         	1.042540e-02
0.13          	1.043495e-02
0.135         	1.077296e-02
0.14          	1.037321e-02
0.145         	9.899485e-03
0.15          	9.526984e-03
0.155         	9.524664e-03
0.16          	9.359027e-03
0.165         	9.459625e-03
0.17          	9.228426e-03
0.175         	9.418538e-03
0.18          	9.548805e-03
0.185         	9.461202e-03
0.19          	9.418945e-03
0.195         	9.334923e-03
0.2           	9.420705e-03
0.205         	9.695083e-03
0.21          	9.167378e-03
0.215         	9.081798e-03
0.22          	8.956309e-03
0.225         	8.722990e-03
0.23          	8.705042e-03
0.235         	8.754224e-03
0.24          	8.525870e-03
0.245         	8.447716e-03
0.25          	8.257929e-03
0.255         	8.059684e-03
0.26          	7.959319e-03
0.265         	7.995098e-03
0.27          	7.990479e-03
0.275         	7.966685e-03
0.28          	7.928743e-03
0.285         	7.797400e-03
0.29          	8.313967e-03
0.295         	8.060152e-03
0.3           	7.860482e-03
0.305         	7.758726e-03
0.31          	7.553407e-03
0.315         	7.318267e-03
0.32          	7.482651e-03
0.325         	7.570776e-03
0.33          	7.545528e-03
0.335         	7.381562e-03
0.34          	7.196028e-03
0.345         	7.181313e-03
0.35          	7.327767e-03
0.355         	7.342241e-03
0.36          	7.225795e-03
0.365         	7.088785e-03
0.37          	6.989749e-03
0.375         	7.100975e-03
0.38          	7.198316e-03
0.385         	7.110130e-03
0.39          	6.953860e-03
0.395         	6.818813e-03
0.4           	6.888065e-03
0.405         	6.904625e-03
0.41          	6.938723e-03
0.415         	6.829914e-03
0.42          	6.600978e-03
0.425         	6.585232e-03
0.43          	6.599897e-03
0.435         	6.590100e-03
0.44          	6.539045e-03
0.445         	6.393398e-03
0.45          	6.298988e-03
0.455         	6.185742e-03
0.46          	6.156832e-03
0.465         	6.215917e-03
0.47          	6.086706e-03
0.475         	5.973959e-03
0.48          	5.926882e-03
0.485         	5.998171e-03
0.49          	5.983812e-03
0.495         	5.899031e-03
0.5           	5.728780e-03
0.505         	5.670953e-03
0.51          	5.581743e-03
0.515         	5.543674e-03
0.52          	5.531124e-03
0.525         	5.428704e-03
0.53          	5.353153e-03
0.535         	5.285077e-03
0.54          	5.235254e-03
0.545         	5.242264e-03
0.55          	5.201872e-03
0.555         	5.121420e-03
0.56          	5.129481e-03
0.565         	5.090277e-03
0.57          	5.018290e-03
0.575         	5.046317e-03
0.58          	5.070682e-03
0.585         	5.030703e-03
0.59          	4.983602e-03
0.595         	4.866162e-03
0.6           	4.811334e-03
0.605         	4.807901e-03
0.61          	4.769038e-03
0.615         	4.654512e-03
0.62          	4.719550e-03
0.625         	4.665615e-03
0.63          	4.544097e-03
0.635         	4.487929e-03
0.64          	4.411591e-03
0.645         	4.392679e-03
0.65          	4.409858e-03
0.655         	4.341126e-03
0.66          	4.256177e-03
0.665         	4.195934e-03
0.67          	4.169718e-03
0.675         	4.114903e-03
0.68          	4.080019e-03
0.685         	4.062386e-03
0.69          	4.032868e-03
0.695         	4.004723e-03
0.7           	3.963658e-03
0.705         	3.903591e-03
0.71          	3.898071e-03
0.715         	3.863769e-03
0.72          	3.776157e-03
0.725         	3.741241e-03
0.73          	3.683309e-03
0.735         	3.680435e-03
0.74          	3.672841e-03
0.745         	3.606602e-03
0.75          	3.504871e-03
0.755         	3.456910e-03
0.76          	3.463501e-03
0.765         	3.428986e-03
0.77          	3.399877e-03
0.775         	3.356191e-03
0.78          	3.297572e-03
0.785         	3.265778e-03
0.79          	3.226913e-03
0.795         	3.215570e-03
0.8           	3.168303e-03
0.805         	3.199516e-03
0.81          	3.141882e-03
0.815         	3.072124e-03
0.82          	3.008956e-03
0.825         	3.034259e-03
0.83          	2.988028e-03
0.835         	3.000763e-03
0.84          	2.958592e-03
0.845         	2.912946e-03
0.85          	2.879653e-03
0.855         	2.860867e-03
0.86          	2.858472e-03
0.865         	2.855928e-03
0.87          	2.870590e-03
0.875         	2.842823e-03
0.88          	2.793245e-03
0.885         	2.735742e-03
0.89          	2.681970e-03
0.895         	2.660497e-03
0.9           	2.677653e-03
0.905         	2.687542e-03
0.91          	2.726689e-03
0.915         	2.667782e-03
0.92          	2.591943e-03
0.925         	2.550363e-03
0.93          	2.523736e-03
0.935         	2.536352e-03
0.94          	2.559288e-03
0.945         	2.525703e-03
0.95          	2.495574e-03
0.955         	2.508787e-03
0.96          	2.435664e-03
0.965         	2.443169e-03
0.97          	2.439020e-03
0.975         	2.448465e-03
0.98          	2.441427e-03
0.985         	2.402971e-03
0.99          	2.365821e-03
0.995         	2.332881e-03
1             	2.366227e-03
1.005         	2.334659e-03
