# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	3.521265e-04
0.1           	6.521265e-04
0.15          	9.521265e-04
0.2           	1.252139e-03
0.25          	1.552146e-03
0.3           	1.852146e-03
0.35          	2.152146e-03
0.4           	2.452146e-03
0.45          	2.752146e-03
0.5           	3.052146e-03
0.55          	3.352146e-03
0.6           	3.652146e-03
0.65          	3.952146e-03
0.7           	4.252146e-03
0.75          	4.552146e-03
0.8           	4.852146e-03
0.85          	5.152146e-03
0.9           	5.452146e-03
0.95          	5.752146e-03
1             	6.052146e-03
1.05          	6.352146e-03
1.1           	6.652148e-03
1.15          	6.952148e-03
1.2           	7.252148e-03
1.25          	7.552148e-03
1.3           	7.852154e-03
1.35          	8.152154e-03
1.4           	8.452154e-03
1.45          	8.752154e-03
1.5           	9.052154e-03
1.55          	9.352159e-03
1.6           	9.652159e-03
1.65          	9.952159e-03
1.7           	1.025216e-02
1.75          	1.055216e-02
1.8           	1.085216e-02
1.85          	1.115216e-02
1.9           	1.145217e-02
1.95          	1.175217e-02
2             	1.205217e-02
2.05          	1.235217e-02
2.1           	1.265217e-02
2.15          	1.295217e-02
2.2           	1.325218e-02
2.25          	1.355218e-02
2.3           	1.385218e-02
2.35          	1.415218e-02
2.4           	1.445218e-02
2.45          	1.475218e-02
2.5           	1.505218e-02
2.55          	1.535218e-02
2.6           	1.565218e-02
2.65          	1.595218e-02
2.7           	1.625218e-02
2.75          	1.655218e-02
2.8           	1.685218e-02
2.85          	1.715218e-02
2.9           	1.745218e-02
2.95          	1.775218e-02
3             	1.805218e-02
3.05          	1.835218e-02
3.1           	1.865218e-02
3.15          	1.895218e-02
3.2           	1.925218e-02
3.25          	1.955218e-02
3.3           	1.985218e-02
3.35          	2.015220e-02
3.4           	2.045220e-02
3.45          	2.075220e-02
3.5           	2.105222e-02
3.55          	2.135224e-02
3.6           	2.165224e-02
3.65          	2.195226e-02
3.7           	2.225226e-02
3.75          	2.255228e-02
3.8           	2.285217e-02
3.85          	2.315151e-02
3.9           	2.344912e-02
3.95          	2.374205e-02
4             	2.402348e-02
4.05          	2.427958e-02
4.1           	2.449039e-02
4.15          	2.463918e-02
4.2           	2.471510e-02
4.25          	2.471033e-02
4.3           	2.462267e-02
4.35          	2.445795e-02
4.4           	2.422856e-02
4.45          	2.395015e-02
4.5           	2.363705e-02
4.55          	2.330682e-02
4.6           	2.298052e-02
4.65          	2.267712e-02
4.7           	2.240816e-02
4.75          	2.217561e-02
4.8           	2.197643e-02
4.85          	2.180673e-02
4.9           	2.166327e-02
4.95          	2.154317e-02
5             	2.144348e-02
5.05          	2.136162e-02
5.1           	2.129571e-02
5.15          	2.124419e-02
5.2           	2.120563e-02
5.25          	2.117860e-02
5.3           	2.116186e-02
5.35          	2.115403e-02
5.4           	2.115409e-02
5.45          	2.116109e-02
5.5           	2.117418e-02
5.55          	2.119264e-02
5.6           	2.121586e-02
5.65          	2.124321e-02
5.7           	2.127421e-02
5.75          	2.130834e-02
5.8           	2.134515e-02
5.85          	2.138417e-02
5.9           	2.142500e-02
5.95          	2.146725e-02
6             	2.151060e-02
6.05          	2.155480e-02
6.1           	2.159967e-02
6.15          	2.164506e-02
6.2           	2.169087e-02
6.25          	2.173704e-02
6.3           	2.178350e-02
6.35          	2.183019e-02
6.4           	2.187701e-02
6.45          	2.192380e-02
6.5           	2.197041e-02
6.55          	2.201669e-02
6.6           	2.206247e-02
6.65          	2.210760e-02
6.7           	2.215197e-02
6.75          	2.219538e-02
6.8           	2.223776e-02
6.85          	2.227896e-02
6.9           	2.231889e-02
6.95          	2.235743e-02
7             	2.239447e-02
7.05          	2.242990e-02
7.1           	2.246355e-02
7.15          	2.249533e-02
7.2           	2.252515e-02
7.25          	2.255290e-02
7.3           	2.257846e-02
7.35          	2.260176e-02
7.4           	2.262268e-02
7.45          	2.264122e-02
7.5           	2.265745e-02
7.55          	2.267151e-02
7.6           	2.268354e-02
7.65          	2.269365e-02
7.7           	2.270174e-02
7.75          	2.270771e-02
7.8           	2.271138e-02
7.85          	2.271266e-02
7.9           	2.271163e-02
7.95          	2.270861e-02
8             	2.270403e-02
8.05          	2.269840e-02
8.1           	2.269219e-02
8.15          	2.268593e-02
8.2           	2.268005e-02
8.25          	2.267487e-02
8.3           	2.267065e-02
8.35          	2.266752e-02
8.4           	2.266561e-02
8.45          	2.266491e-02
8.5           	2.266541e-02
8.55          	2.266713e-02
8.6           	2.267009e-02
8.65          	2.267429e-02
8.7           	2.267972e-02
8.75          	2.268626e-02
8.8           	2.269359e-02
8.85          	2.270160e-02
8.9           	2.271014e-02
8.95          	2.271909e-02
9             	2.272829e-02
9.05          	2.273762e-02
9.1           	2.274688e-02
9.15          	2.275603e-02
9.2           	2.276503e-02
9.25          	2.277376e-02
9.3           	2.278221e-02
9.35          	2.279047e-02
9.4           	2.279849e-02
9.45          	2.280621e-02
9.5           	2.281358e-02
9.55          	2.282054e-02
9.6           	2.282705e-02
9.65          	2.283309e-02
9.7           	2.283864e-02
9.75          	2.284373e-02
9.8           	2.284837e-02
9.85          	2.285263e-02
9.9           	2.285664e-02
9.95          	2.286053e-02
10            	2.286448e-02
10.05         	2.286864e-02
10.1          	2.287312e-02
10.15         	2.287792e-02
10.2          	2.288313e-02
10.25         	2.288880e-02
10.3          	2.289488e-02
10.35         	2.290103e-02
10.4          	2.290686e-02
10.45         	2.291215e-02
10.5          	2.291668e-02
10.55         	2.292029e-02
10.6          	2.292287e-02
10.65         	2.292433e-02
10.7          	2.292457e-02
10.75         	2.292348e-02
10.8          	2.292095e-02
10.85         	2.291680e-02
10.9          	2.291089e-02
10.95         	2.290308e-02
11            	2.289329e-02
11.05         	2.288157e-02
11.1          	2.286811e-02
11.15         	2.285322e-02
11.2          	2.283731e-02
11.25         	2.282084e-02
11.3          	2.280417e-02
11.35         	2.278752e-02
11.4          	2.277082e-02
11.45         	2.275393e-02
11.5          	2.273648e-02
11.55         	2.271818e-02
11.6          	2.269890e-02
11.65         	2.267875e-02
11.7          	2.265808e-02
11.75         	2.263733e-02
11.8          	2.261708e-02
11.85         	2.259789e-02
11.9          	2.258027e-02
11.95         	2.256458e-02
12            	2.255107e-02
12.05         	2.253990e-02
12.1          	2.253109e-02
12.15         	2.252454e-02
12.2          	2.252009e-02
12.25         	2.251743e-02
12.3          	2.251613e-02
12.35         	2.251587e-02
12.4          	2.251632e-02
12.45         	2.251719e-02
12.5          	2.251827e-02
12.55         	2.251935e-02
12.6          	2.252016e-02
12.65         	2.252070e-02
12.7          	2.252102e-02
12.75         	2.252126e-02
12.8          	2.252141e-02
12.85         	2.252157e-02
12.9          	2.252478e-02
12.95         	2.252526e-02
13            	2.252596e-02
13.05         	2.252686e-02
13.1          	2.252793e-02
13.15         	2.252909e-02
13.2          	2.253022e-02
13.25         	2.253120e-02
13.3          	2.253191e-02
13.35         	2.253227e-02
13.4          	2.253218e-02
13.45         	2.253159e-02
13.5          	2.253059e-02
13.55         	2.252918e-02
13.6          	2.252726e-02
13.65         	2.252489e-02
13.7          	2.252221e-02
13.75         	2.251917e-02
13.8          	2.251573e-02
13.85         	2.251178e-02
13.9          	2.250723e-02
13.95         	2.250205e-02
14            	2.249622e-02
14.05         	2.248974e-02
14.1          	2.248261e-02
14.15         	2.247478e-02
14.2          	2.246628e-02
14.25         	2.245713e-02
14.3          	2.244736e-02
14.35         	2.243699e-02
14.4          	2.242606e-02
14.45         	2.241462e-02
14.5          	2.240275e-02
14.55         	2.239053e-02
14.6          	2.237803e-02
14.65         	2.236542e-02
14.7          	2.235278e-02
14.75         	2.234027e-02
14.8          	2.232798e-02
14.85         	2.231603e-02
14.9          	2.230452e-02
14.95         	2.229354e-02
15            	2.228317e-02
15.05         	2.227348e-02
15.1          	2.226454e-02
15.15         	2.225637e-02
15.2          	2.224902e-02
