# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	1.000000e+00
0.01          	5.689047e-01
0.015         	5.140703e-01
0.02          	5.681805e-01
0.025         	2.062526e-01
0.03          	8.255796e-02
0.035         	4.913685e-02
0.04          	3.334384e-02
0.045         	2.514277e-02
0.05          	2.236960e-02
0.055         	2.096166e-02
0.06          	1.980748e-02
0.065         	1.901667e-02
0.07          	1.814034e-02
0.075         	1.697882e-02
0.08          	1.615589e-02
0.085         	1.559833e-02
0.09          	1.582920e-02
0.095         	1.513431e-02
0.1           	1.495730e-02
0.105         	1.501979e-02
0.11          	1.606329e-02
0.115         	1.433160e-02
0.12          	1.353367e-02
0.125         	8.032020e-02
0.13          	8.141374e-02
0.135         	3.084485e-02
0.14          	1.889209e-02
0.145         	1.668490e-02
0.15          	1.594810e-02
0.155         	1.568355e-02
0.16          	1.549465e-02
0.165         	1.540048e-02
0.17          	1.525250e-02
0.175         	1.501212e-02
0.18          	1.462594e-02
0.185         	1.420556e-02
0.19          	1.395053e-02
0.195         	1.353725e-02
0.2           	1.276052e-02
0.205         	1.251298e-02
0.21          	1.231813e-02
0.215         	1.181773e-02
0.22          	1.132846e-02
0.225         	1.120741e-02
0.23          	1.095646e-02
0.235         	1.076966e-02
0.24          	1.045430e-02
0.245         	1.031310e-02
0.25          	9.954646e-03
0.255         	9.949667e-03
0.26          	1.009581e-02
0.265         	1.020188e-02
0.27          	1.408653e-02
0.275         	9.992144e-03
0.28          	9.162901e-03
0.285         	9.078684e-03
0.29          	8.792845e-03
0.295         	8.458604e-03
0.3           	8.288889e-03
0.305         	8.290969e-03
0.31          	8.089911e-03
0.315         	7.868117e-03
0.32          	7.956958e-03
0.325         	7.895710e-03
0.33          	7.623043e-03
0.335         	7.465758e-03
0.34          	7.327198e-03
0.345         	7.256054e-03
0.35          	7.096384e-03
0.355         	6.982982e-03
0.36          	6.954818e-03
0.365         	6.953772e-03
0.37          	7.048164e-03
0.375         	7.243601e-03
0.38          	1.737755e-02
0.385         	8.632645e-03
0.39          	6.594491e-03
0.395         	6.383037e-03
0.4           	6.263884e-03
0.405         	6.225472e-03
0.41          	6.159054e-03
0.415         	6.095610e-03
0.42          	6.008250e-03
0.425         	5.879439e-03
0.43          	5.861334e-03
0.435         	5.910274e-03
0.44          	6.009197e-03
0.445         	6.090505e-03
0.45          	6.245152e-03
0.455         	7.280062e-03
0.46          	2.679510e-02
0.465         	1.467094e-02
0.47          	1.566120e-01
0.475         	3.210870e-02
0.48          	1.367884e-02
0.485         	9.519391e-03
0.49          	8.860649e-03
0.495         	8.001436e-03
0.5           	7.665352e-03
0.505         	7.622509e-03
0.51          	7.783332e-03
0.515         	1.753287e-02
0.52          	1.287195e-02
0.525         	9.348021e-03
0.53          	8.364562e-03
0.535         	7.952966e-03
0.54          	7.951978e-03
0.545         	1.339489e-02
0.55          	8.749988e-03
0.555         	8.552637e-03
0.56          	9.391976e-03
0.565         	9.468957e-03
0.57          	9.052955e-03
0.575         	9.230611e-03
0.58          	9.315031e-03
0.585         	2.117215e-02
0.59          	1.480845e-02
0.595         	1.144477e-02
0.6           	1.040470e-02
0.605         	1.071504e-02
0.61          	1.195782e-02
0.615         	1.993106e-02
0.62          	2.138809e-02
0.625         	1.622976e-02
0.63          	1.207176e-02
0.635         	1.051035e-02
0.64          	9.908413e-03
0.645         	9.609183e-03
0.65          	9.497560e-03
0.655         	9.386240e-03
0.66          	8.892239e-03
0.665         	8.847459e-03
0.67          	8.850883e-03
0.675         	8.725630e-03
0.68          	8.684848e-03
0.685         	8.800457e-03
0.69          	9.054815e-03
0.695         	9.069542e-03
0.7           	9.059479e-03
0.705         	9.419402e-03
0.71          	9.404745e-03
0.715         	1.725396e-01
0.72          	3.235711e-02
0.725         	1.855587e-02
0.73          	1.248677e-02
0.735         	1.060950e-02
0.74          	9.987559e-03
0.745         	9.767245e-03
0.75          	9.699179e-03
0.755         	9.706185e-03
0.76          	9.868865e-03
0.765         	9.927093e-03
0.77          	9.851930e-03
0.775         	9.899425e-03
0.78          	9.991847e-03
0.785         	9.923434e-03
0.79          	9.783629e-03
0.795         	9.626398e-03
0.8           	9.608379e-03
0.805         	1.015765e-02
0.81          	9.877645e-03
0.815         	9.584795e-03
0.82          	9.925917e-03
0.825         	2.199725e-02
0.83          	1.476357e-02
0.835         	1.112348e-02
0.84          	1.038095e-02
0.845         	1.018549e-02
0.85          	1.016922e-02
0.855         	1.106936e-02
0.86          	9.986116e-03
0.865         	9.763343e-03
0.87          	9.431691e-03
0.875         	9.453939e-03
0.88          	9.300048e-03
0.885         	9.180824e-03
0.89          	9.031907e-03
0.895         	8.854267e-03
0.9           	8.860845e-03
0.905         	8.692999e-03
0.91          	8.590811e-03
0.915         	8.522370e-03
0.92          	8.576396e-03
0.925         	8.385329e-03
0.93          	8.442025e-03
0.935         	3.289296e-01
0.94          	2.276528e-02
0.945         	2.114547e-02
0.95          	1.334772e-02
0.955         	1.068504e-02
0.96          	8.940705e-03
0.965         	8.424307e-03
0.97          	8.329979e-03
0.975         	8.221810e-03
0.98          	8.101778e-03
0.985         	8.064050e-03
0.99          	4.408906e-02
0.995         	1.652485e-02
1             	9.668784e-03
1.005         	1.720763e-02
