# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	5.145290e-04
0.1           	1.014529e-03
0.15          	1.514529e-03
0.2           	2.014529e-03
0.25          	2.514529e-03
0.3           	3.014529e-03
0.35          	3.514530e-03
0.4           	4.014530e-03
0.45          	4.514534e-03
0.5           	5.014534e-03
0.55          	5.514534e-03
0.6           	6.014534e-03
0.65          	6.514534e-03
0.7           	7.014536e-03
0.75          	7.514536e-03
0.8           	8.014536e-03
0.85          	8.514536e-03
0.9           	9.014536e-03
0.95          	9.514541e-03
1             	1.001454e-02
1.05          	1.051454e-02
1.1           	1.101454e-02
1.15          	1.151455e-02
1.2           	1.201455e-02
1.25          	1.251455e-02
1.3           	1.301456e-02
1.35          	1.351456e-02
1.4           	1.401456e-02
1.45          	1.451457e-02
1.5           	1.501457e-02
1.55          	1.551457e-02
1.6           	1.601457e-02
1.65          	1.651458e-02
1.7           	1.701458e-02
1.75          	1.751458e-02
1.8           	1.801459e-02
1.85          	1.851459e-02
1.9           	1.901459e-02
1.95          	1.951459e-02
2             	2.001459e-02
2.05          	2.051459e-02
2.1           	2.101460e-02
2.15          	2.151460e-02
2.2           	2.201460e-02
2.25          	2.251461e-02
2.3           	2.301461e-02
2.35          	2.351461e-02
2.4           	2.401461e-02
2.45          	2.451462e-02
2.5           	2.501462e-02
2.55          	2.551462e-02
2.6           	2.601462e-02
2.65          	2.651463e-02
2.7           	2.701463e-02
2.75          	2.751463e-02
2.8           	2.801463e-02
2.85          	2.851464e-02
2.9           	2.901464e-02
2.95          	2.951464e-02
3             	3.001464e-02
3.05          	3.051464e-02
3.1           	3.101464e-02
3.15          	3.151464e-02
3.2           	3.201465e-02
3.25          	3.251465e-02
3.3           	3.301466e-02
3.35          	3.351466e-02
3.4           	3.401466e-02
3.45          	3.451466e-02
3.5           	3.501467e-02
3.55          	3.551467e-02
3.6           	3.601467e-02
3.65          	3.651467e-02
3.7           	3.701468e-02
3.75          	3.751468e-02
3.8           	3.801467e-02
3.85          	3.851453e-02
3.9           	3.901291e-02
3.95          	3.950581e-02
4             	3.998594e-02
4.05          	4.044456e-02
4.1           	4.087227e-02
4.15          	4.126034e-02
4.2           	4.160132e-02
4.25          	4.188939e-02
4.3           	4.212001e-02
4.35          	4.228906e-02
4.4           	4.239160e-02
4.45          	4.242393e-02
4.5           	4.239208e-02
4.55          	4.231347e-02
4.6           	4.220921e-02
4.65          	4.209640e-02
4.7           	4.198531e-02
4.75          	4.187726e-02
4.8           	4.176740e-02
4.85          	4.165076e-02
4.9           	4.152155e-02
4.95          	4.137367e-02
5             	4.119947e-02
5.05          	4.099614e-02
5.1           	4.076634e-02
5.15          	4.052372e-02
5.2           	4.028905e-02
5.25          	4.008683e-02
5.3           	3.993193e-02
5.35          	3.981429e-02
5.4           	3.970841e-02
5.45          	3.959879e-02
5.5           	3.947988e-02
5.55          	3.935203e-02
5.6           	3.921986e-02
5.65          	3.909097e-02
5.7           	3.897398e-02
5.75          	3.887481e-02
5.8           	3.879317e-02
5.85          	3.872426e-02
5.9           	3.866340e-02
5.95          	3.860801e-02
6             	3.855717e-02
6.05          	3.851081e-02
6.1           	3.846870e-02
6.15          	3.843038e-02
6.2           	3.839552e-02
6.25          	3.836399e-02
6.3           	3.833582e-02
6.35          	3.831121e-02
6.4           	3.829032e-02
6.45          	3.827305e-02
6.5           	3.825902e-02
6.55          	3.824776e-02
6.6           	3.823892e-02
6.65          	3.823257e-02
6.7           	3.822884e-02
6.75          	3.822751e-02
6.8           	3.822818e-02
6.85          	3.823054e-02
6.9           	3.823441e-02
6.95          	3.823966e-02
7             	3.824618e-02
7.05          	3.825389e-02
7.1           	3.826268e-02
7.15          	3.827250e-02
7.2           	3.828328e-02
7.25          	3.829497e-02
7.3           	3.830755e-02
7.35          	3.832099e-02
7.4           	3.833528e-02
7.45          	3.835043e-02
7.5           	3.836641e-02
7.55          	3.838319e-02
7.6           	3.840075e-02
7.65          	3.841900e-02
7.7           	3.843788e-02
7.75          	3.845729e-02
7.8           	3.847714e-02
7.85          	3.849732e-02
7.9           	3.851770e-02
7.95          	3.853817e-02
8             	3.855859e-02
8.05          	3.857885e-02
8.1           	3.859883e-02
8.15          	3.861842e-02
8.2           	3.863754e-02
8.25          	3.865609e-02
8.3           	3.867396e-02
8.35          	3.869108e-02
8.4           	3.870732e-02
8.45          	3.872259e-02
8.5           	3.873677e-02
8.55          	3.874971e-02
8.6           	3.876118e-02
8.65          	3.877092e-02
8.7           	3.877855e-02
8.75          	3.878358e-02
8.8           	3.878542e-02
8.85          	3.878337e-02
8.9           	3.877682e-02
8.95          	3.876539e-02
9             	3.874900e-02
9.05          	3.872779e-02
9.1           	3.870175e-02
9.15          	3.867089e-02
9.2           	3.863631e-02
9.25          	3.860050e-02
9.3           	3.856639e-02
9.35          	3.853584e-02
9.4           	3.850959e-02
9.45          	3.848722e-02
9.5           	3.846808e-02
9.55          	3.845181e-02
9.6           	3.843808e-02
9.65          	3.842668e-02
9.7           	3.841732e-02
9.75          	3.840991e-02
9.8           	3.840431e-02
9.85          	3.840044e-02
9.9           	3.839851e-02
9.95          	3.839877e-02
10            	3.840129e-02
10.05         	3.840595e-02
10.1          	3.841258e-02
10.15         	3.842103e-02
10.2          	3.843103e-02
10.25         	3.844242e-02
10.3          	3.845511e-02
10.35         	3.846894e-02
10.4          	3.848373e-02
10.45         	3.849931e-02
10.5          	3.851551e-02
10.55         	3.853215e-02
10.6          	3.854910e-02
10.65         	3.856619e-02
10.7          	3.858328e-02
10.75         	3.860022e-02
10.8          	3.861677e-02
10.85         	3.863266e-02
10.9          	3.864757e-02
10.95         	3.866104e-02
11            	3.867244e-02
11.05         	3.868125e-02
11.1          	3.868738e-02
11.15         	3.869115e-02
11.2          	3.869319e-02
11.25         	3.869441e-02
11.3          	3.869543e-02
11.35         	3.869678e-02
11.4          	3.869856e-02
11.45         	3.870082e-02
